Temperature [°C],Temperature [K],Pressure [Pa],Pressure [bar],Pressure [MPa],Density [kg/m³],Enthalpy [J/kg],Enthalpy [kJ/kg],Entropy [J/kg/K],Entropy [kJ/kg/K],Specific Heat (Cp) [J/kg/K],Specific Heat (Cp) [kJ/kg/K],Viscosity [Pa·s],Thermal Conductivity [W/m/K],Phase,Saturation Pressure [Pa],Saturation Pressure [bar],Quality [-],Mass Flow [kg/h],Mass Flow [kg/s],Volume Flow [m³/s],Volume Flow [m³/h],Case
60.0,333.15,5000.0,0.05,0.005,0.03256204250494691,2612295.275082405,2612.295275082405,8555.270919471195,8.555270919471194,1893.6349417561007,1.8936349417561007,1.0878013117523255e-05,0.02099563931948475,gas,19946.43430596585,0.1994643430596585,N/A (single phase),74000.0,20.555555555555557,631.273531211462,2272584.712361263,0.05 bar
60.0,333.15,100000.0,1.0,0.1,983.1952445303426,251247.58080367753,251.24758080367752,831.2505002920003,0.8312505002920003,4184.956223318779,4.184956223318779,0.00046603475937580046,0.6509995898072225,liquid,19946.43430596585,0.1994643430596585,N/A (single phase),74000.0,20.555555555555557,0.02090689074210752,75.26480667158707,1 bar
60.0,333.15,200000.0,2.0,0.2,983.238990191371,251331.55885482687,251.33155885482688,831.1972843703412,0.8311972843703412,4184.7341928799615,4.1847341928799615,0.000466058814731899,0.6510518897992964,liquid,19946.43430596585,0.1994643430596585,N/A (single phase),74000.0,20.555555555555557,0.020905960565655315,75.26145803635913,2 bar
60.0,333.15,500000.0,5.0,0.5,983.3701657022815,251583.4807986386,251.5834807986386,831.0376814232798,0.8310376814232797,4184.068863885263,4.184068863885264,0.0004661309945046276,0.6512087215767886,liquid,19946.43430596585,0.1994643430596585,N/A (single phase),74000.0,20.555555555555557,0.020903171839543908,75.25141862235807,5 bar
60.0,333.15,1000000.0,10.0,1.0,983.5885869956505,252003.30994053103,252.00330994053104,830.771825445754,0.830771825445754,4182.962518082007,4.1829625180820065,0.0004662513400786969,0.6514698808616093,liquid,19946.43430596585,0.1994643430596585,N/A (single phase),74000.0,20.555555555555557,0.020898529961944804,75.23470786300129,10 bar
