T_htf_in [°C],Vdot_htf [m3/s],PEC_total [$],Unit_elec_cost [$/kWh],Simple_PB [yr],CRF [-],Evaporator_cost [$],Condenser_cost [$],Turbine_cost [$],Pump_cost [$],Superheater_cost [$],Regenerator_cost [$]
91.3838383838384,0.006944444444444444,176160.46255630557,0.09694104033208452,10.06735189583293,0.08024258719069129,67351.07909520491,74587.76733808844,17678.099792004155,10690.270084871207,0.0,5853.246246136835
91.67676767676767,0.006944444444444444,175993.60046311968,0.09636116465665552,10.00712789191707,0.08024258719069129,67138.01055035448,74567.292156093,17725.6688621155,10709.86182423922,0.0,5852.767070317454
91.969696969697,0.006944444444444444,175828.33427758818,0.09579013501651645,9.947822645031625,0.08024258719069129,66926.84251156458,74546.87807259985,17772.93883108101,10729.387102969022,0.0,5852.287759373734
92.26262626262627,0.006944444444444444,175664.64003618824,0.09522776005473202,9.889416279857286,0.08024258719069129,66717.54715010927,74526.52495407836,17819.91278942853,10748.846823028493,0.0,5851.808319543591
92.55555555555554,0.006944444444444444,175502.49427694618,0.09467385384977653,9.831889485647006,0.08024258719069129,66510.09720500406,74506.23266785163,17866.59377802507,10768.241869015961,0.0,5851.328757049466
92.84848484848487,0.006944444444444444,175341.87402628566,0.09412823572570353,9.775223496507678,0.08024258719069129,66304.4659682234,74486.00108207684,17912.984789226724,10787.573108661945,0.0,5850.849078096742
93.14141414141415,0.006944444444444444,175182.75678625703,0.09359073007015306,9.719400072495958,0.08024258719069129,66100.62727039604,74465.83006575578,17959.08876798033,10806.841393249877,0.0,5850.3692888749965
93.43434343434342,0.006944444444444444,175025.12052218206,0.0930611661598135,9.664401481488426,0.08024258719069129,65898.55546693702,74445.71948871683,18004.908612905034,10826.047558066528,0.0,5849.889395556659
93.72727272727275,0.006944444444444444,174868.9436506882,0.09253937799315345,9.610210481806982,0.08024258719069129,65698.22542462246,74425.66922161877,18050.44717732574,10845.192422823955,0.0,5849.409404297307
94.02020202020202,0.006944444444444444,174714.2050281252,0.09202520412974867,9.55681030552927,0.08024258719069129,65499.612508581944,74405.67913594678,18095.707270294366,10864.276792066308,0.0,5848.929321235814
94.3131313131313,0.006944444444444444,174560.8839393176,0.09151848753624199,9.504184642488152,0.08024258719069129,65302.69256968318,74385.74910400435,18140.691657566833,10883.30145556961,0.0,5848.449152493603
94.60606060606062,0.006944444444444444,174408.96008668948,0.09101907543837529,9.452317624901905,0.08024258719069129,65107.4419323178,74365.87899891552,18185.403062560425,10902.267188720522,0.0,5847.968904175209
94.8989898989899,0.006944444444444444,174258.41357968474,0.0905268191789445,9.401193812619693,0.08024258719069129,64913.83738254042,74346.0686946101,18229.844167279425,10921.174752887715,0.0,5847.488582367068
95.19191919191917,0.006944444444444444,174109.2249245681,0.0900415740813973,9.350798178953157,0.08024258719069129,64721.85615659401,74326.31806583462,18274.01761321552,10940.024895785198,0.0,5847.00819313873
95.4848484848485,0.006944444444444444,173961.3750144818,0.08956319931873513,9.301116097059035,0.08024258719069129,64531.47592975948,74306.62698813766,18317.926002224052,10958.818351818842,0.0,5846.527742541763
95.77777777777777,0.006944444444444444,173814.84511982618,0.08909155778760354,9.252133326860685,0.08024258719069129,64342.674805551505,74286.99533787233,18361.571897369904,10977.555842422407,0.0,5846.047236610038
96.07070707070704,0.006944444444444444,173669.61687892996,0.08862651598722306,9.203836002472455,0.08024258719069129,64155.43130523184,74267.42299218703,18404.957823756835,10996.238076395115,0.0,5845.566681359127
96.36363636363637,0.006944444444444444,173525.6722889977,0.08816794390294366,9.156210620104298,0.08024258719069129,63969.72435764357,74247.90982903162,18448.086269332318,11014.865750202975,0.0,5845.086082787218
96.65656565656565,0.006944444444444444,173382.99369732424,0.08771571489437621,9.109244026441845,0.08024258719069129,63785.53328933514,74228.45572714608,18490.959685665748,11033.439548303237,0.0,5844.605446874044
96.94949494949492,0.006944444444444444,173241.56379275603,0.08726970558768776,9.06292340745899,0.08024258719069129,63602.837814976585,74209.06056606013,18533.58048870782,11051.9601434304,0.0,5844.124779581114
97.24242424242425,0.006944444444444444,173101.36559744578,0.08682979577203084,9.017236277659899,0.08024258719069129,63421.618028068646,74189.72422609502,18575.95105953132,11070.428196898758,0.0,5843.64408685203
97.53535353535352,0.006944444444444444,172962.38245877472,0.08639586829982993,8.972170469721672,0.08024258719069129,63241.854391897585,74170.44658835062,18618.07374504583,11088.844358869213,0.0,5843.163374611453
97.82828282828285,0.006944444444444444,172824.5980415982,0.08596780899079474,8.927714124524138,0.08024258719069129,63063.52773078062,74151.22753471334,18659.950858704007,11107.209268634075,0.0,5842.682648766137
98.12121212121212,0.006944444444444444,172687.99632065752,0.08554550653957539,8.88385568155794,0.08024258719069129,62886.61922154532,74132.06694785041,18701.584681175504,11125.523554881926,0.0,5842.201915204342
98.4141414141414,0.006944444444444444,172552.56157320307,0.08512885242673,8.840583869676697,0.08024258719069129,62711.11038524975,74112.96471120216,18742.97746101069,11143.787835945064,0.0,5841.721179795412
98.70707070707073,0.006944444444444444,172418.27837188842,0.08471774083301063,8.79788769819386,0.08024258719069129,62536.98307915853,74093.92070898824,18784.131415289932,11162.00272006113,0.0,5841.240448390557
99.0,0.006944444444444444,172285.1315778086,0.0843120685568129,8.755756448308198,0.08024258719069129,62364.21948892714,74074.93482620154,18825.048730245526,11180.168805612124,0.0,5840.759726822267
70.0,0.008333333333333333,213538.19585947582,0.17416561076242418,18.087909039960117,0.08024258719069129,100392.75223771548,82929.13965575265,14362.692389092688,9297.560023277438,0.0,6556.051553637548
70.29292929292927,0.008333333333333333,213079.50539070985,0.17165577701704557,17.82722908297218,0.08024258719069129,99839.78200839729,82901.5587034051,14454.751195886747,9327.865062494076,0.0,6555.5484205266475
70.5858585858586,0.008333333333333333,212628.31031399153,0.16922179640763768,17.574428032956103,0.08024258719069129,99295.41385585026,82874.05784128912,14545.892107381465,9357.90189850726,0.0,6555.044610963439
70.87878787878788,0.008333333333333333,212184.4161858493,0.16686038034876127,17.329164279423104,0.08024258719069129,98759.42828516393,82846.63683122964,14636.133365962947,9387.677571718454,0.0,6554.54013177431
71.17171717171715,0.008333333333333333,211747.63542431756,0.16456842515718012,17.091115420393752,0.08024258719069129,98231.61354506871,82819.29543686425,14725.492606816648,9417.19884574716,0.0,6554.034989820804
71.46464646464648,0.008333333333333333,211317.78700478814,0.16234299933938584,16.85997694167665,0.08024258719069129,97711.76528084018,82792.03342363286,14813.986886472596,9446.472221843349,0.0,6553.529191999166
