W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K],Evap_E_heat_in [kW],use_preheater,use_superheater,preheater_params,superheater_params
10.711579798147705,181.45957219280155,-170.74799239465383,0.05903011711482824,0.42104613879794034,0.8430699178836278,77.6161616161616,69.6161616161616,0.005555555555555556,4.574176290340606,67.6161616161616,0.25019172049782157,7.718796173404424,2.597674068678206,-4.032785950030067,6.533876012550384,20.78551654628187,25.440394320509807,False,False,,
10.802610620466528,181.4352028159084,-170.63259219544187,0.05953977206632441,0.42249444392008056,0.8421335214351426,77.90909090909093,69.90909090909093,0.005555555555555556,4.6126110718438325,67.90909090909093,0.25350341699004786,7.730031954871254,2.6195967351922587,-4.050725803644134,6.552406303409427,20.882542818976525,25.568645400955756,False,False,,
10.89324185125245,181.41081171162188,-170.51756986036943,0.06004736844774609,0.4239170394325241,0.8411995302571633,78.20202020202021,70.20202020202021,0.005555555555555556,4.651290972837123,68.20202020202021,0.25683063470775325,7.741465468861893,2.641421262838872,-4.068635142823465,6.571082223585054,20.979361664774405,25.696635987632558,False,False,,
10.98347509759889,181.38639922889226,-170.40292413129336,0.06055291435461374,0.4253144021235895,0.8402679420055857,78.49494949494948,70.49494949494948,0.005555555555555556,4.690217012532923,68.49494949494948,0.2601734211512547,7.75309535899067,2.6631481114556017,-4.086513735701711,6.589903155895815,21.07597524616266,25.8243667337822,False,False,,
11.073311958305744,181.36196571691434,-170.28865375860858,0.061056417835644444,0.4266869974242101,0.8393387543633318,78.78787878787881,70.78787878787881,0.005555555555555556,4.72939021192416,68.78787878787881,0.2635318239159725,7.764920278576774,2.684777739167906,-4.104361351984688,6.608868489675964,21.172385684855797,25.951838291656944,False,False,,
11.162754023914212,181.3375115249749,-170.17475750106067,0.061557886893009506,0.4280352797405139,0.838411965039685,79.08080808080808,71.08080808080808,0.005555555555555556,4.768811593782981,69.08080808080808,0.26690589068190684,7.776938890602885,2.7063106023911736,-4.122177762928938,6.627977620747028,21.268595062864097,26.07905131250247,False,False,,
11.25180287676294,181.3130370025295,-170.0612341257666,0.062057329482633754,0.4293596927750898,0.8374875717708646,79.37373737373736,71.37373737373736,0.005555555555555556,4.8084821826703354,69.37373737373736,0.2702956692279156,7.789149867646657,2.7277471558453286,-4.139962741314086,6.647229951405814,21.364605423519123,26.206006446573777,False,False,,
11.340460090991973,181.28854249906504,-169.94808240807308,0.06255475351427936,0.43066066983564233,0.8365655723193469,79.66666666666669,71.66666666666669,0.005555555555555556,4.84840300492335,69.66666666666669,0.27370120742622217,7.801551891869579,2.7490878525517193,-4.157716061436762,6.666624890410759,21.460418772470288,26.332704343119968,False,False,,
11.428727232643666,181.26402836412515,-169.8353011314815,0.06305016685210987,0.4319386341362919,0.8356459644743283,79.95959595959596,71.95959595959596,0.005555555555555556,4.888575088682577,69.95959595959596,0.2771225532481485,7.814143654901031,2.7703331438562735,-4.175437499059613,6.6861618529458395,21.55603707864591,26.459145650392315,False,False,,
11.516605859649205,181.23949494724255,-169.72288908759336,0.06354357731465542,0.4331939990844795,0.8347287460513386,80.25252525252523,72.25252525252523,0.005555555555555556,4.928999463872907,70.25252525252523,0.2805597547631344,7.826923857850009,2.791483479422528,-4.193126831414693,6.7058402606209775,21.65146227518446,26.585331015638772,False,False,,
11.604097521904428,181.2149425979291,-169.61084507602467,0.06403499267525103,0.43442716856129526,0.833813914892438,80.54545454545456,72.54545454545456,0.005555555555555556,4.969677162221058,70.54545454545456,0.28401286014363786,7.839891211214159,2.812539307249965,-4.210783837165994,6.725659541441769,21.74669626033399,26.71126108510673,False,False,,
11.69120376130439,181.19037166559798,-169.49916790429359,0.06452442066227165,0.43563853719094914,0.8329014688660012,80.83838383838383,72.83838383838383,0.005555555555555556,5.01060921725881,70.83838383838383,0.28748191766601006,7.853044434832238,2.833501073679823,-4.228408296384798,6.7456191297932735,21.841740898323184,26.836936504035453,False,False,,
11.777926111759134,181.1657824995756,-169.38785638781647,0.06501186895923199,0.4368284906002527,0.83199140586677,81.1313131313131,73.1313131313131,0.005555555555555556,5.051796664313506,71.1313131313131,0.29096697571071906,7.866382257870601,2.854369223395981,-4.2459999905451316,6.765718466432169,21.93659802020587,26.96235791666177,False,False,,
11.864266099274634,181.1411754490482,-169.27690934977358,0.06549734520526969,0.43799740567196793,0.8310837238159445,81.42424242424244,73.42424242424244,0.005555555555555556,5.0932405405327925,71.42424242424244,0.2944680827684476,7.879903418719117,2.8751441994436178,-4.263558702474554,6.785956998456629,22.031269424675283,27.087525966215907,False,False,,
