T_htf_in [°C],Vdot_htf [m3/s],W_net [kW],η_th [-],P_evap [bar],ε_ex [-],T_turb_in [°C],m_orc [kg/s],Q_in [kW],T_htf_out [°C],Evap_E_heat_in [kW],Q_out [kW],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K],E_dest_Preheater [kW],E_dest_Superheater [kW],Preheater_dT_lm [K],Superheater_dT_lm [K],use_preheater,use_superheater,preheater_params,superheater_params
50.0,0.013888888888888888,,,,,,,,,,,,,,,,,,,,,,,,
53.333333333333314,0.013888888888888888,0.0005336604934271525,0.008716186222767952,2.143850247881245,0.10043610112811852,43.333333333333314,0.00031030235487219574,0.061226375823998945,53.333333333333314,,-0.0606927153305718,8.378524232155214e-06,0.003061681555009122,0.0001301805969325518,-0.0008235641460828547,0.002556516115666898,17.999999999996078,8.422044345202752e-05,9.561914212389571e-05,19.676352969176442,13.610380224143467,False,False,,
56.666666666666686,0.013888888888888888,0.0033117507344731937,0.01666761443428046,2.398361327021661,0.17359759054735563,46.666666666666686,0.0009943734104395506,0.19869374513858928,56.666666666666686,,-0.19538199440411608,5.4962031726289435e-05,0.009503003970241864,0.0008071762121239041,-0.0029161785019161017,0.008317726529986018,17.999999999981185,0.000565171265505225,0.00030359155230483595,21.198868001163586,13.610380224137286,False,False,,
60.0,0.013888888888888888,0.008150200420031927,0.0242574553403257,2.6756513205874652,0.23089632133227153,50.0,0.0016607362027483612,0.33598744409447595,60.0,,-0.327837243674444,0.0001429387082032955,0.015370730744343308,0.0019847541026410363,-0.0053424091383214205,0.014153849277574158,18.000000000015007,0.0014952716351047724,0.0005025632256031651,22.657066662737343,13.61038022415132,False,False,,
63.333333333333314,0.013888888888888888,0.014904195035122095,0.031503420634109096,2.977046826118204,0.27653154747044717,53.333333333333314,0.002310121161469355,0.47309767432001215,63.333333333333314,,-0.45819347928489,0.0002761434168420042,0.020703578436128377,0.0036264157118588193,-0.00809925465276607,0.020124945965665286,17.99999999998903,0.002924877810473807,0.0006931852431283491,24.06175170327859,13.610380224140545,False,False,,
66.66666666666669,0.013888888888888888,0.02343800144002655,0.03842206237961982,3.303904766046022,0.3133549719432272,56.666666666666686,0.002943234519542525,0.6100141426155913,66.66666666666669,,-0.5865761411755648,0.0004586221786931451,0.025537255919060406,0.005698071857271631,-0.011182108164755546,0.02628655990292251,17.999999999952706,0.004898636056233594,0.0008760820564192814,25.420913654162437,13.61038022412547,False,False,,
70.0,0.013888888888888888,0.03362422374424964,0.04502885701157886,3.6576118540006934,0.3433700507449618,60.0,0.0035607604750623203,0.7467261213315587,70.0,,-0.7131018975873089,0.0006946329542469931,0.029904696051469982,0.008167896446221123,-0.014584918012826253,0.03269020489974732,17.999999999947192,0.007456041187410307,0.0010518562732251616,26.740659834668456,13.610380224123183,False,False,,
73.33333333333331,0.013888888888888888,0.045343125230036606,0.051338281662772524,4.039584234534348,0.3680246680990959,63.333333333333314,0.004163363292515047,0.8832224952109519,73.33333333333331,,-0.8378793699809153,0.0009886470169560434,0.03383626395245788,0.011006190874949806,-0.018300325737841582,0.039383820981581164,17.99999999990905,0.010631951331854388,0.0012210935432046296,28.02578210222417,13.610380224107361,False,False,,
76.66666666666669,0.013888888888888888,0.058482008670362816,0.057363883462121665,4.451267319022601,0.3883904999956359,66.66666666666669,0.004751689373912223,1.0194917976391795,76.66666666666669,,-0.9610097889688168,0.001345351111286692,0.03735994397176806,0.01418525834798362,-0.022319783065739625,0.046412201902511656,17.999999999861245,0.014457063895717933,0.0013843676414949683,29.28012154313291,13.610380224087528,False,False,,
80.0,0.013888888888888888,0.07293464829590404,0.06311834236886424,4.8941358418323295,0.40527713831935286,70.0,0.0053263693297854455,1.1555222389978685,80.0,,-1.0825875907019646,0.0017696506100144075,0.04050150709657874,0.017679287466526333,-0.026633649303342184,0.05381739912123826,17.999999999817305,0.018958357383506576,0.0015422458679543805,30.50681241346805,13.610380224069296,False,False,,
50.0,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,,,
53.333333333333314,0.027777777777777776,0.001067320986854305,0.008716186222767952,2.143850247881245,0.10043610112811852,43.333333333333314,0.0006206047097443915,0.12245275164799789,53.333333333333314,,-0.1213854306611436,1.6757048464310428e-05,0.006123363110018244,0.0002603611938651036,-0.0016471282921657095,0.005113032231333796,17.999999999996078,0.00016844088690405503,0.00019123828424779142,19.676352969176442,13.610380224143467,False,False,,
56.666666666666686,0.027777777777777776,0.006623501468946387,0.01666761443428046,2.398361327021661,0.17359759054735563,46.666666666666686,0.0019887468208791012,0.39738749027717857,56.666666666666686,,-0.39076398880823215,0.00010992406345257887,0.019006007940483727,0.0016143524242478082,-0.0058323570038322035,0.016635453059972036,17.999999999981185,0.00113034253101045,0.0006071831046096719,21.198868001163586,13.610380224137286,False,False,,
60.0,0.027777777777777776,0.016300400840063855,0.0242574553403257,2.6756513205874652,0.23089632133227153,50.0,0.0033214724054967224,0.6719748881889519,60.0,,-0.655674487348888,0.000285877416406591,0.030741461488686617,0.003969508205282073,-0.010684818276642841,0.028307698555148315,18.000000000015007,0.002990543270209545,0.0010051264512063302,22.657066662737343,13.61038022415132,False,False,,
63.333333333333314,0.027777777777777776,0.02980839007024419,0.031503420634109096,2.977046826118204,0.27653154747044717,53.333333333333314,0.00462024232293871,0.9461953486400243,63.333333333333314,,-0.91638695856978,0.0005522868336840084,0.04140715687225675,0.007252831423717639,-0.01619850930553214,0.04024989193133057,17.99999999998903,0.005849755620947614,0.0013863704862566982,24.06175170327859,13.610380224140545,False,False,,
66.66666666666669,0.027777777777777776,0.0468760028800531,0.03842206237961982,3.303904766046022,0.3133549719432272,56.666666666666686,0.00588646903908505,1.2200282852311826,66.66666666666669,,-1.1731522823511296,0.0009172443573862902,0.05107451183812081,0.011396143714543262,-0.02236421632951109,0.05257311980584502,17.999999999952706,0.009797272112467188,0.0017521641128385628,25.420913654162437,13.61038022412547,False,False,,
70.0,0.027777777777777776,0.06724844748849929,0.04502885701157886,3.6576118540006934,0.3433700507449618,60.0,0.0071215209501246405,1.4934522426631174,70.0,,-1.4262037951746178,0.0013892659084939862,0.059809392102939965,0.016335792892442247,-0.029169836025652505,0.06538040979949464,17.999999999947192,0.014912082374820614,0.002103712546450323,26.740659834668456,13.610380224123183,False,False,,
73.33333333333331,0.027777777777777776,0.09068625046007321,0.051338281662772524,4.039584234534348,0.3680246680990959,63.333333333333314,0.008326726585030093,1.7664449904219037,73.33333333333331,,-1.6757587399618306,0.0019772940339120868,0.06767252790491576,0.022012381749899612,-0.036600651475683164,0.07876764196316233,17.99999999990905,0.021263902663708777,0.0024421870864092593,28.02578210222417,13.610380224107361,False,False,,
76.66666666666669,0.027777777777777776,0.11696401734072563,0.057363883462121665,4.451267319022601,0.3883904999956359,66.66666666666669,0.009503378747824446,2.038983595278359,76.66666666666669,,-1.9220195779376337,0.002690702222573384,0.07471988794353612,0.02837051669596724,-0.04463956613147925,0.09282440380502331,17.999999999861245,0.028914127791435866,0.0027687352829899366,29.28012154313291,13.610380224087528,False,False,,
80.0,0.027777777777777776,0.14586929659180808,0.06311834236886424,4.8941358418323295,0.40527713831935286,70.0,0.010652738659570891,2.311044477995737,80.0,,-2.1651751814039293,0.003539301220028815,0.08100301419315747,0.03535857493305267,-0.05326729860668437,0.10763479824247651,17.999999999817305,0.03791671476701315,0.003084491735908761,30.50681241346805,13.610380224069296,False,False,,
