W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K]
15.242218308898698,382.3772767825949,-367.1350584736962,0.039861726191341755,0.34459951244643244,1.8137143695640237,70.0,58.0,0.0077777777777777776,3.2364300465918285,60.0,0.07687674151256174,17.42707686906572,2.545711300312213,-8.61577920730202,11.433885703588471,16.77044137895398
15.495808886173542,382.3258248159321,-366.83001592975853,0.040530374566337186,0.34799092108866814,1.8114916076369405,70.30303030303031,58.30303030303031,0.0077777777777777776,3.2669679646160295,60.30303030303031,0.07853750973737383,17.428007470412215,2.5877103099090153,-8.64899232911383,11.445262960944776,16.882370488783497
15.748304413714457,382.2743041589961,-366.52599974528164,0.041196345771554656,0.35131783485268525,1.8092742710304217,70.60606060606062,58.60606060606062,0.0077777777777777776,3.2977264942295896,60.60606060606062,0.0802068471374304,17.429527826147094,2.6295144584019283,-8.6821935031347,11.457055628551752,16.99393322748864
15.99970983905734,382.22271557084514,-366.2230057317878,0.041859651944448045,0.35458176469982144,1.807062351577688,70.90909090909093,58.909090909090935,0.0077777777777777776,3.3287066869899107,60.909090909090935,0.08188478246182027,17.431633840323304,2.6711246462195213,-8.715381899697828,11.469261369306817,17.105135527933836
16.250030083275796,382.17105981435515,-365.92102973107933,0.042520305151231154,0.35778417581265226,1.8048558411772455,71.21212121212119,59.21212121212119,0.0077777777777777776,3.359909596469179,61.21212121212119,0.08357134447967596,17.434321445711728,2.712541770209789,-8.748556695883117,11.481877864518076,17.215983158187758
16.499270041031018,382.11933765613907,-365.62006761510804,0.043178317387010536,0.3609264893054304,1.802654731792161,71.5151515151515,59.5151515151515,0.0077777777777777776,3.391336278235758,61.5151515151515,0.0852665619676646,17.437586603777426,2.7537667236397816,-8.781717075516895,11.494902813867977,17.326481727895068
16.747434580882015,382.06754986639373,-365.3201152855117,0.043833700576608695,0.3640100838640802,1.8004590154497306,71.81818181818181,59.81818181818181,0.0077777777777777776,3.4229877898694463,61.81818181818181,0.08697046372200753,17.441425304345294,2.794800396232766,-8.814862229041013,11.508333935259055,17.43663669432945
16.99452854540563,382.01569721854094,-365.0211686731353,0.044486466574915416,0.36703629730981896,1.7982686842396807,72.12121212121212,60.121212121212125,0.0077777777777777776,3.4548651909537176,62.121212121212125,0.08868307855000782,17.445833565471617,2.835643674178545,-8.847991353469693,11.522168964730477,17.546453368155714
17.240556751361517,381.9637804893542,-364.72322373799267,0.04513662716730293,0.37000642809468787,1.7960837303147934,72.42424242424244,60.424242424242436,0.0077777777777777776,3.4869695430724903,62.424242424242436,0.09040443527835415,17.45080743329299,2.876297440148292,-8.881103652334222,11.536405656385416,17.655936918910715
17.48552398986037,381.91180045853673,-364.42627646867635,0.045784194070114186,0.37292173673253226,1.7939041458890148,72.72727272727275,60.72727272727275,0.0077777777777777776,3.5193019098102587,62.72727272727275,0.0921345627564586,17.45634298182621,2.916762573312539,-8.914198335609745,11.551041782285465,17.765092380224278
