W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K],Evap_E_heat_in [kW]
11.478674480480255,254.91818452172996,-243.4395100412497,0.04502885701157886,0.3724765086701701,1.2155763269684583,70.0,62.0,0.0077777777777777776,3.6576118540006934,60.0,0.23713456185227702,10.501052985863272,2.7883654715591124,-4.979015351167972,8.54753766810669,18.18178989698514,30.81717695825129
11.621492113324152,254.88502732825577,-243.26353521493164,0.04559503645679947,0.3748078182180231,1.2141765418026729,70.29292929292927,62.29292929292927,0.0077777777777777776,3.6900255023923503,60.29292929292927,0.24122895255776008,10.508872674332576,2.822863572516166,-5.005119925910678,8.567845273495823,18.285133603693705,31.006536012447878
11.763687523532578,254.85182732753722,-243.08813980400464,0.04615892947243345,0.37709558174311514,1.2127802230460338,70.5858585858586,62.5858585858586,0.0077777777777777776,3.722658387856114,60.5858585858586,0.24534338017684443,10.51702359371961,2.857206659027023,-5.031191102873633,8.588382530049845,18.38819473890204,31.19550610790829
11.905263287038341,254.8185849765669,-242.91332168952857,0.046720545474079715,0.37934074148869384,1.2113873663747536,70.87878787878788,62.878787878787875,0.0077777777777777776,3.7555114840261643,60.878787878787875,0.24947790875957127,10.525503463195069,2.891395441528182,-5.057228488392807,8.609148325090015,18.490977063844035,31.38408819552849
12.046221966297965,254.78530073456747,-242.7390787682695,0.04727989382263299,0.38154421333846184,1.2099979675087542,71.17171717171715,63.17171717171715,0.0077777777777777776,3.7885857662826417,61.17171717171715,0.25363260243795427,10.534310017684216,2.925430627735201,-5.083231691884729,8.630141555972642,18.593484251595005,31.572283224780435
12.186566110364629,254.7519750629601,-242.56540895259548,0.047836983824572146,0.3837068877261709,1.2086120222114392,71.46464646464648,63.46464646464648,0.0077777777777777776,3.821882211745754,61.46464646464648,0.2578075254084021,10.543441007810635,2.9593129226535453,-5.1092003258255705,8.651361130047013,18.69571988994557,31.76009214372369
12.326298255006481,254.7186084251886,-242.3923101701821,0.04839182473245468,0.3858296305094816,1.207229526289067,71.75757575757575,63.75757575757575,0.0077777777777777776,3.8554017992851035,61.75757575757575,0.2620027419379795,10.552894199752256,2.993043028596972,-5.135134005692142,8.672805964595067,18.797687484150543,31.947515898998763
12.46542092271442,254.68520128669533,-242.21978036398093,0.048944425744950455,0.38791328380450985,1.205850475590477,72.05050505050502,64.05050505050502,0.0077777777777777776,3.8891455095025047,62.05050505050502,0.2662183163636933,10.562667375241038,3.0266216451864025,-5.161032349966467,8.694474986824666,18.89939045956614,32.13455543583913
12.603936622851677,254.65175411480206,-242.04781749195038,0.049494796007450916,0.38995866679107405,1.2044748660068845,72.34343434343435,64.34343434343435,0.0077777777777777776,3.9231143247500433,62.34343434343435,0.2704543131017857,10.572758331382104,3.060049469380173,-5.186894980061946,8.716367133802116,19.00083216417691,32.3212116980706
12.741847851716615,254.61826737863817,-241.87641952692155,0.050042944612329984,0.39196657648280503,1.2031026934715285,72.63636363636363,64.63636363636363,0.0077777777777777776,3.9573092291255096,62.636363636363626,0.2747107966466299,10.583164880585954,3.093327195482914,-5.212721520298628,8.73848135241687,19.10201587102361,32.507485628116
12.879157092593958,254.58474154897786,-241.7055844563839,0.0505888805991785,0.3939377884662422,1.2017339539589271,72.92929292929296,64.92929292929296,0.0077777777777777776,3.9917312084675536,62.929292929292956,0.2789878315695651,10.593884850508193,3.1264555151509956,-5.238511597878486,8.760816599350267,19.2029447805323,32.69337816698845
13.01586681582894,254.55117709827485,-241.5353102824459,0.05113261295509111,0.39587305761097985,1.2003686434851106,73.22222222222223,65.22222222222223,0.0077777777777777776,4.026381250354138,63.22222222222223,0.2832854825241926,10.604916083971336,3.159435117405378,-5.2642648428567425,8.783371841044165,19.303622022750766,32.878890254308466
13.151979478955132,254.5175745004854,-241.36559502153025,0.051674150615206534,0.39777311875372695,1.1990067581070596,73.5151515151515,65.5151515151515,0.0077777777777777776,4.0612603441167945,63.5151515151515,0.2876038142457573,10.6162564388103,3.192266688658531,-5.289980888078122,8.806146053636468,19.404050659497415,33.06402282829451
13.287497526726963,254.4839342310363,-241.19643670430932,0.052213502462846034,0.39963868735248903,1.1976482939225281,73.80808080808083,65.80808080808083,0.0077777777777777776,4.096369480831038,63.80808080808083,0.29194289155871206,10.627903787836246,3.224950912714057,-5.315659369163924,8.82913822294509,19.50423368642432,33.24877682577096
13.422423391194576,254.45025676670085,-241.02783337550628,0.05275067732983765,0.40147046011667253,1.1962932470695362,74.1010101010101,66.1010101010101,0.0077777777777777776,4.13170965331688,64.1010101010101,0.2963027793681616,10.639856018754077,3.257488470781704,-5.3412999244785295,8.852347344425414,19.60417403500448,33.433153182164
13.556759491789471,254.4165425855152,-240.85978309372575,0.05328568399687585,0.4032691156130721,1.194941613726199,74.39393939393938,66.39393939393938,0.0077777777777777776,4.167281856145041,64.39393939393938,0.3006835426797248,10.652111034044715,3.289880041492415,-5.366902195083078,8.875772423133776,19.70387457443624,33.61715283150244
