W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K],m_htf [kg/s],T_htf_in [K],T_htf_out [K],eps_ex_hs [-],superheat_C
37.824450463205885,681.238885366734,-643.4144349035281,0.05552303498183856,0.4221595215822149,3.15817660133551,75.15151515151513,65.15151515151513,0.016666666666666666,4.260362003275282,67.15151515151513,0.18389218719311573,26.759786482810583,8.957487812689457,-16.246963773479926,19.65420270921323,17.697956522933936,16.245870976271917,348.3015151515151,338.3015151515151,0.011079377154811007,10
38.199565924834594,681.1451099558205,-642.945544030986,0.05608139200663459,0.4239360665957529,3.154456274190774,75.45454545454544,65.45454545454544,0.016666666666666666,4.298034339106642,67.45454545454544,0.18660641199686234,26.800596497283657,9.044944768876434,-16.314625276142245,19.71752240201471,17.796539389785327,16.242844939937395,348.6045454545454,338.6045454545454,0.011123647251552333,10
38.57306471325569,681.0512356703169,-642.4781709570613,0.056637537226242,0.4256798530488472,3.150745341061655,75.75757575757575,65.75757575757575,0.016666666666666666,4.335959925607223,67.75757575757575,0.18933391333656024,26.84224530521007,9.131992914013935,-16.382179969527005,19.781392163033562,17.89488571706402,16.239810931047373,348.9075757575757,338.9075757575757,0.011166954150054073,10
38.94495390629428,680.957263945169,-642.0123100388747,0.05719148024160023,0.42739155558574005,3.1470437907056974,76.06060606060606,66.06060606060606,0.016666666666666666,4.374139874762454,68.06060606060606,0.19207473276034026,26.884727038613207,9.218634188919602,-16.44962683551577,19.84580912477738,17.9929984655957,16.23676896604921,349.21060606060604,339.21060606060604,0.011209316883049271,10
39.31524054492997,680.8631962176971,-641.5479556727671,0.05774323059805899,0.42907183105085145,3.143351611987978,76.36363636363637,66.36363636363637,0.016666666666666666,4.412575300563476,68.36363636363637,0.1948289118838603,26.928035872585767,9.304870526794481,-16.516964863975048,19.91077044728906,18.090880531552614,16.23371906124301,349.51363636363635,339.51363636363635,0.01125075402332161,10
39.68393163367436,680.7690339275254,-641.085102293851,0.05829279778595087,0.4307213190691203,3.1396687938814813,76.66666666666669,66.66666666666669,0.016666666666666666,4.451267319022601,68.66666666666669,0.19759649237821975,26.972166024890768,9.390703853295015,-16.584193052592745,19.976273317971255,18.188534748425294,16.23066123278188,349.81666666666666,339.81666666666666,0.011291283697307173,10
40.05103414069271,680.6747785162897,-640.6237443755971,0.058840191240807395,0.43234064260128574,3.135995325465777,76.969696969697,66.969696969697,0.016666666666666666,4.4902170481671435,68.969696969697,0.20037751597008557,27.017111755812977,9.476136086543384,-16.651310406816506,20.042314951509937,18.285963888915838,16.22759549667377,350.119696969697,340.119696969697,0.011330923598147054,10
40.41655499804121,680.5804314273792,-640.163876429338,0.05938542034374349,0.4339304084790483,3.1323311959263185,77.27272727272725,67.27272727272725,0.016666666666666666,4.529425608045386,69.27272727272725,0.20317202445887417,27.062867367860463,9.56116913717829,-16.71831593974001,20.108892589757616,18.383170666757316,16.224521868782364,350.42272727272723,340.42272727272723,0.011369690998308346,10
40.780501101905074,680.4859941057838,-639.7054930038787,0.059928494421834656,0.4354912079197391,3.128676394554051,77.57575757575756,67.57575757575756,0.016666666666666666,4.568894120730501,69.57575757575756,0.20598005969730404,27.109427205520262,9.645804908385529,-16.785208671992397,20.176003501610698,18.480157738465874,16.221440364828297,350.72575757575754,340.72575757575754,0.011407602761783164,10
41.142879312744896,680.3914679979521,-639.2485886852072,0.06046942274835923,0.4370236170204917,3.125030910745001,77.87878787878788,67.87878787878788,0.016666666666666666,4.60862371031815,69.87878787878788,0.20880166361393393,27.15678565506694,9.730045295930864,-16.851987631673133,20.243644982938605,18.576927705022584,16.218351000389713,351.02878787878785,341.02878787878785,0.011444675355833872,10
41.50369645556239,680.2968545515293,-638.7931580959669,0.06100821454322729,0.4385281972351052,3.1213947339994847,78.18181818181819,68.18181818181819,0.016666666666666666,4.648615502933869,70.18181818181819,0.21163687819490673,27.204937144273927,9.813892188195005,-16.918651854221174,20.31181435644266,18.673483113496125,16.21525379090354,351.33181818181816,341.33181818181816,0.011480924862374323,10
41.862959320103954,680.202155215192,-638.339195895088,0.0615448789733105,0.44000549583234383,3.1177678539218303,78.4848484848485,68.4848484848485,0.016666666666666666,4.688870626738062,70.4848484848485,0.21448574550131672,27.25387614215667,9.897347466220616,-16.98520038231614,20.38050897156246,18.769826458600967,16.21214875166699,351.6348484848485,341.6348484848485,0.011516366988944302,10
42.22067466101805,680.1073714384287,-637.8866967774106,0.06207942515270968,0.4414560463367173,3.1141502602195703,78.78787878787881,68.78787878787881,0.016666666666666666,4.72939021192416,70.78787878787881,0.21734830766466462,27.303597158790396,9.980413003732593,-17.05163226579971,20.449726204387943,18.865960184200045,16.209035897837847,351.9378787878788,341.9378787878788,0.011551017079303085,10
42.576849198104966,680.0125046713703,-637.4356554732653,0.0626118621431544,0.4428803689538884,3.1105419427031262,79.09090909090907,69.09090909090907,0.016666666666666666,4.7701753907261235,71.09090909090907,0.2202246068878777,27.354094745026728,10.063090667182124,-17.1179465615627,20.519463457534034,18.961886684751995,16.20591524443601,352.24090909090904,342.24090909090904,0.011584890123688019,10
42.93148961649932,679.9175563646933,-636.9860667481939,0.06314219895429761,0.4442789709796883,3.1069428912858132,79.39393939393938,69.39393939393938,0.016666666666666666,4.811227297421819,71.39393939393938,0.2231146854460121,27.40536349228374,10.145382315778065,-17.18414233344594,20.589718160061878,19.0576083067047,16.20278680634447,352.54393939393935,342.54393939393935,0.011618000768719628,10
43.284602566832135,679.8225279693563,-636.5379254025243,0.06367044454399609,0.4456523471940877,3.1033530959828206,79.69696969696969,69.69696969696969,0.016666666666666666,4.852547068332177,71.69696969696969,0.2260185856903365,27.457398032342454,10.227289801515298,-17.250218652166694,20.660487767381397,19.153127349839412,16.199650598309436,352.84696969696967,342.84696969696967,0.01165036332696229,10
43.63619466548018,679.7274209364124,-636.0912262709322,0.0641966078187131,0.44700098024169915,3.099772546911037,80.0,70.0,0.016666666666666666,4.8941358418323295,72.0,0.22893635005396384,27.510193037049874,10.30881496922077,-17.316174595187082,20.731769761137524,19.24844606856569,16.19650663494277,353.15,343.15,0.011681991786204608,10
43.98627249472818,679.632236717023,-635.6459642222949,0.06472069763377432,0.44832534099752347,3.096201234289321,80.30303030303031,70.30303030303031,0.016666666666666666,4.935994758350488,72.30303030303031,0.23186802104438597,27.563743218157356,10.389959656579826,-17.38200924664881,20.803561649132757,19.343566673171672,16.193354930721284,353.4530303030303,343.4530303030303,0.011712899818396972,10
44.33484260298437,679.5369767620251,-635.2021341590407,0.06524272279374503,0.4496258889204023,3.092639148437158,80.60606060606062,70.60606060606062,0.016666666666666666,4.978124960377894,72.60606060606062,0.2348136412494093,27.61804332702755,10.470725694177375,-17.44772169724,20.875860965214336,19.43849133102849,16.190195499989336,353.7560606060606,343.7560606060606,0.011743100788324785,10
44.68191150489124,679.4416425220126,-634.7597310171213,0.065762692052605,0.45090307239247274,3.0890862797751404,80.90909090909093,70.90909090909093,0.016666666666666666,5.020527592462563,72.90909090909093,0.23777325334768096,27.67308815452364,10.551114905510161,-17.513311044157465,20.94866526922402,19.53322216775354,16.18702835695818,354.0590909090909,344.0590909090909,0.011772607761963014,10
45.0274856816421,679.3462354470231,-634.318749765381,0.06628061411426403,0.452157329048902,3.0855426188244075,81.21212121212119,71.21212121212119,0.016666666666666666,5.063203801229319,73.21212121212119,0.24074690009102395,27.72887253063682,10.631129107056395,-17.578776390940114,21.021972146844128,19.62776126833399,16.183853515708396,354.36212121212117,344.36212121212117,0.011801433514616454,10
45.37157158104541,679.2507569865417,-633.8791854054963,0.06679649763267673,0.45338908609327955,3.0820081562067054,81.5151515151515,71.5151515151515,0.016666666666666666,5.106154735370449,73.5151515151515,0.24373462432708015,27.78539132440379,10.710770108273884,-17.64411684743723,21.095779209567528,19.72211067820952,16.180670990189235,354.6651515151515,344.6651515151515,0.011829590538739899,10
45.714175617777755,679.1552085892416,-633.4410329714639,0.0673103512122603,0.45459876060399634,3.078482882643977,81.81818181818181,71.81818181818181,0.016666666666666666,5.1493815456600185,73.81818181818181,0.24673646898704782,27.84263944360937,10.790039711653186,-17.70933152967008,21.170084094579522,19.816272404320113,16.177480794220706,354.9681818181818,344.9681818181818,0.011857091051541686,10
46.05530417354491,679.059591702788,-633.004287529243,0.06782218340817205,0.4557867598290058,3.0749667889578367,82.12121212121212,72.12121212121212,0.016666666666666666,5.192885384956772,74.12121212121212,0.24975247709710913,27.90061183457587,10.868939712751548,-17.774419559752914,21.244884464671614,19.91024841611662,16.174282941494358,355.2712121212121,345.2712121212121,0.01188394700233986,10
46.39496359723333,678.9639077739268,-632.5689441766935,0.06833200272654458,0.45695348147009107,3.0714598660702794,82.42424242424244,72.42424242424244,0.016666666666666666,5.236667408204155,74.42424242424244,0.25278269177078394,27.95930348202181,10.947471900208086,-17.83938006582049,21.32017800818019,20.00404064653886,16.171077445573157,355.5742424242424,345.5742424242424,0.01191017007966682,10
46.73316020514793,678.8681582481297,-632.1349980429818,0.06883981762489254,0.45809931395847664,3.0679621050028834,82.72727272727275,72.72727272727275,0.016666666666666666,5.280728772445811,74.72727272727275,0.2558271562165839,28.01870940874477,11.025638055798346,-17.904212181887367,21.39596243887233,20.09765099295975,16.167864319893365,355.8772727272727,345.8772727272727,0.011935771718183621,10
47.069900281134224,678.7723445695457,-631.7024442884115,0.06934563651231895,0.45922463671967956,3.0644734968768614,83.030303030303,73.030303030303,0.016666666666666666,5.325070636823961,75.030303030303,0.2588859137439605,28.07882467548147,11.10343995445298,-17.968915047791718,21.472235495886693,20.191081318098206,16.164643577764966,356.180303030303,346.180303030303,0.011960763105344448,10
47.40519007676671,678.6764681808836,-631.2712781041168,0.0698494677498264,0.46032982043002785,3.0609940329130305,83.33333333333331,73.33333333333331,0.016666666666666666,5.369694162586549,75.33333333333331,0.2619590077571381,28.13964438069185,11.180879364293162,-18.033487809095732,21.54899494364642,20.284333450902853,16.161415232372903,356.4833333333333,346.4833333333333,0.011985155187863717,10
47.73903581153653,678.580530523285,-630.8414947117484,0.07035131965062827,0.46141522726449763,3.057523704431897,83.63636363636363,73.63636363636363,0.016666666666666666,5.414600513096533,75.63636363636363,0.2650464817567544,28.201163660332256,11.257958046668904,-18.097929616978362,21.626238571779552,20.377409187406283,16.158179296776975,356.7863636363636,346.7863636363636,0.012008958677999223,10
48.0714436730035,678.484533036172,-630.4130893631685,0.07085120048041046,0.46248121113587926,3.0540625028533412,83.93939393939394,73.93939393939394,0.016666666666666666,5.45979085383496,75.93939393939394,0.26814837935389224,28.263377687661915,11.33467775618243,-18.162239628157565,21.70396419504067,20.470310291550867,16.154935783913725,357.0893939393939,347.0893939393939,0.012032184059610587,10
48.40241981695797,678.3884771571979,-629.98605734024,0.07134911845759732,0.46352811792596443,3.0506104196969512,84.24242424242425,74.24242424242425,0.016666666666666666,5.505266352407069,76.24242424242425,0.2712647442581706,28.326281673066546,11.411040240720915,-18.226417004797604,21.782169653248026,20.563038495989474,16.151684706596406,357.3924242424242,347.3924242424242,0.012054841594054067,10
48.73197036762781,678.2923643220481,-629.5603939544203,0.0718450817536997,0.4645562857095682,3.0471674465818275,84.54545454545456,74.54545454545456,0.016666666666666666,5.551028178555092,76.54545454545456,0.2743956202929154,28.38987086378711,11.48704724150344,-18.290460914396327,21.860852811187137,20.655595502859025,16.148426077516365,357.69545454545454,347.69545454545454,0.012076941325897594,10
49.06010141780412,678.1961959643928,-629.1360945465888,0.07233909849352783,0.4655660449702655,3.043733575226648,84.84848484848487,74.84848484848487,0.016666666666666666,5.597077504157652,76.84848484848487,0.27754105137463236,28.454140543803405,11.562700493092194,-18.354370529720214,21.94001155855002,20.747982984531426,16.14515990924335,357.99848484848485,347.99848484848485,0.012098493088443536,10
49.38681902902124,678.0999735158086,-628.7131544867874,0.07283117675548748,0.4665577188095556,3.040308797450113,85.15151515151513,75.15151515151513,0.016666666666666666,5.643415503241818,77.15151515151513,0.2807010815484141,28.519086033581928,11.6380017234396,-18.418145028696937,22.019643809873006,20.8402025843378,16.141886214226368,358.3015151515151,348.3015151515151,0.01211950650910123,10
49.71212923168603,678.0036984054894,-628.2915691738034,0.0733213245718241,0.46753162314884533,3.0368931051700048,85.45454545454544,75.45454545454544,0.016666666666666666,5.690043351985931,77.45454545454544,0.2838757549687996,28.584702689919553,11.712952653904487,-18.48178359433353,22.09974750445931,20.93225591727283,16.138605004795213,358.6045454545454,348.6045454545454,0.012139991014579698,10
