T_htf_in [°C],Vdot_htf [m3/s],PEC_total [$],Unit_elec_cost [$/kWh],Simple_PB [yr],CRF [-],Evaporator_cost [$],Condenser_cost [$],Turbine_cost [$],Pump_cost [$],Superheater_cost [$],Regenerator_cost [$]
70.0,0.005555555555555556,71571.98385834799,0.08757384869334528,9.094244126937685,0.08024258719069129,5328.146742400329,30320.97454368323,26811.066078671414,1484.3918184702889,2466.230480787912,5161.174194334819
70.29292929292927,0.005555555555555556,71764.72092763503,0.0867305328365177,9.006658220645157,0.08024258719069129,5285.011801805698,30303.43880663568,27047.216622267082,1502.2953213016094,2465.9802668924353,5160.778108732525
70.5858585858586,0.005555555555555556,71956.48760189491,0.08591107811952732,8.921550784145715,0.08024258719069129,5242.657804697079,30285.958283118096,27281.56518980563,1520.1951108868884,2465.729722786077,5160.381490601137
70.87878787878788,0.005555555555555556,72147.29110010645,0.08511449116970884,8.838818623693113,0.08024258719069129,5201.062876544067,30268.53278471178,27514.140105967504,1538.092135679681,2465.4788518887704,5159.984345314646
71.17171717171715,0.005555555555555556,72337.13861175292,0.08433983322519685,8.758364219255071,0.08024258719069129,5160.205968109186,30251.16212439981,27744.968869471882,1555.9873138596831,2465.227657637628,5159.586678274725
71.46464646464648,0.005555555555555556,72526.03729528932,0.0835862164325857,8.680095339822083,0.08024258719069129,5120.0668164619765,30233.8461165582,27974.078189169537,1573.8815347025484,2464.9761434867128,5159.188494910358
71.75757575757575,0.005555555555555556,72713.99427679382,0.08285280044148968,8.603924689568897,0.08024258719069129,5080.625908198075,30216.58457692821,28201.494018168793,1591.7756599172865,2464.7243129057106,5158.789800675748
72.05050505050502,0.005555555555555556,72901.01664851164,0.08213878926929821,8.529769582093266,0.08024258719069129,5041.864444720179,30199.37732261471,28427.241585856544,1609.6705248904066,2464.4721693797537,5158.390601050045
72.34343434343435,0.005555555555555556,73087.11146771512,0.08144342841030035,8.457551640048095,0.08024258719069129,5003.764309444482,30182.224172060898,28651.345428371216,1627.5669398940695,2464.2197164085237,5157.990901535927
72.63636363636363,0.005555555555555556,73272.28575543,0.08076600216818942,8.387196517985563,0.08024258719069129,4966.308036808573,30165.12494503648,28873.829417242167,1645.4656911782954,2463.9669575057137,5157.5907076587555
72.92929292929296,0.005555555555555556,73456.54649524568,0.08010583119184372,8.318633646324031,0.08024258719069129,4929.478782965332,30148.07946261775,29094.716786472753,1663.3675420274076,2463.7138961978017,5157.19002496464
73.22222222222223,0.005555555555555556,73639.90063224587,0.07946227019637617,8.251795994566388,0.08024258719069129,4893.260298060043,30131.08754718521,29314.03015820327,1681.2732337521802,2463.460536024319,5156.788859020859
73.5151515151515,0.005555555555555556,73822.35507206552,0.07883470585323174,8.186619852084107,0.08024258719069129,4857.636899985211,30114.14902239458,29531.791567101984,1699.1834866334725,2463.2068805365134,5156.387215413757
73.80808080808083,0.005555555555555556,74003.91667990398,0.07822255483557548,8.123044625037323,0.08024258719069129,4822.593449527442,30097.263713171884,29748.02248334295,1717.099000816217,2462.952933297112,5155.985099748372
74.1010101010101,0.005555555555555556,74184.59227961936,0.07762526200515255,8.061012647994989,0.08024258719069129,4788.115326815163,30080.431445694943,29962.743834448145,1735.0204571347674,2462.6986978793893,5155.582517646954
74.39393939393938,0.005555555555555556,74364.38865299198,0.0770422987290832,8.000469009056175,0.08024258719069129,4754.188408993481,30063.65204737797,30175.976026063876,1752.9485179421376,2462.4441778665378,5155.179474747986
74.6868686868687,0.005555555555555556,74543.31253892224,0.07647316131583737,7.941361387354834,0.08024258719069129,4720.799049047927,30046.9253468692,30387.738961614068,1770.8838278327714,2462.189376851833,5154.775976706437
74.97979797979798,0.005555555555555556,74721.37063282104,0.07591736956053319,7.883639901923905,0.08024258719069129,4687.934055708537,30030.251174019184,30598.052061079074,1788.8270143862712,2461.9342984369137,5154.372029191055
75.27272727272725,0.005555555555555556,74898.5695859009,0.07537446539115725,7.827256971045617,0.08024258719069129,4655.580674372541,30013.629359883398,30806.934278699682,1806.7786888285273,2461.678946232016,5153.967637884726
75.56565656565658,0.005555555555555556,75074.91600476202,0.07484401160702565,7.772167181185934,0.08024258719069129,4623.726568985231,29997.05973670125,31014.404120015093,1824.7394467219544,2461.4233238552147,5153.562808483287
75.85858585858585,0.005555555555555556,75250.41645076756,0.07432559070270794,7.7183271648088425,0.08024258719069129,4592.359804819002,29980.542137885834,31220.479657908414,1842.7098685278024,2461.167434931868,5153.157546694647
76.15151515151513,0.005555555555555556,75425.07743962451,0.07381880377065818,7.665695486368442,0.08024258719069129,4561.468832104227,29964.07639801158,31425.178547958978,1860.6905202179257,2460.911283094001,5152.751858237815
76.44444444444446,0.005555555555555556,75598.90544107062,0.07332326947622496,7.614232535821309,0.08024258719069129,4531.042470460723,29947.662352801242,31628.518043138127,1878.6819538481072,2460.6548719800026,5152.3457488424165
76.73737373737373,0.005555555555555556,75771.90687845992,0.07283862309986419,7.563900429121257,0.08024258719069129,4501.069894082762,29931.299839113668,31830.51500771443,1896.6847080675823,2460.398205233912,5151.939224247575
77.030303030303,0.005555555555555556,75944.08812849766,0.07236451564120534,7.514662915140641,0.08024258719069129,4471.540617636772,29914.98869492812,32031.185930598906,1914.699308628203,2460.1412865047746,5151.53229020089
77.32323232323233,0.005555555555555556,76115.45552097684,0.07190061298069537,7.466485288573934,0.08024258719069129,4442.444482833839,29898.728759344474,32230.546938013464,1932.7262688796206,2459.884119446785,5151.1249524586665
77.6161616161616,0.005555555555555556,76286.01533863317,0.07144659509397726,7.419334308320339,0.08024258719069129,4413.771645633992,29882.51987255509,32428.613805714136,1950.7660902281552,2459.6267077179727,5150.717216783834
77.90909090909093,0.005555555555555556,76455.77381689296,0.07100215531591578,7.373178121024631,0.08024258719069129,4385.512564053457,29866.361875850533,32625.40197050095,1968.8192625608642,2459.369054980589,5150.309088946569
78.20202020202021,0.005555555555555556,76624.73714385155,0.07056699964990515,7.3279861893226474,0.08024258719069129,4357.657986537965,29850.2546115929,32820.9265414129,1986.8862646854516,2459.111164899925,5149.900574722414
78.49494949494948,0.005555555555555556,76792.91146009193,0.0701408461199451,7.283729224530242,0.08024258719069129,4330.198940872946,29834.197923212338,33015.20231025154,2004.967564719307,2458.853041144002,5149.4916798917975
78.78787878787881,0.005555555555555556,76960.30285872353,0.06972342416184585,7.240379123397586,0.08024258719069129,4303.126723604003,29818.191655202067,33208.243761801954,2023.0636204911978,2458.5946873838393,5149.08241024046
79.08080808080808,0.005555555555555556,77126.91738527252,0.06931447405111864,7.197908908674915,0.08024258719069129,4276.432889933139,29802.23565309331,33400.065083521,2041.1748798763344,2458.336107291843,5148.6727715568995
79.37373737373736,0.005555555555555556,77292.76103779778,0.06891374636498898,7.15629267322341,0.08024258719069129,4250.1092440766815,29786.329763459362,33590.68017490307,2059.3017811823897,2458.077304542618,5148.26276963366
79.66666666666669,0.005555555555555556,77457.83976680199,0.06852100147625531,7.115505527434635,0.08024258719069129,4224.147830049255,29770.473833896885,33780.10265631682,2077.444753462466,2457.8182828115173,5147.852410265041
79.95959595959596,0.005555555555555556,77622.15947544418,0.06813600907636941,7.075523549685926,0.08024258719069129,4198.54092286059,29754.667713016508,33968.34587769346,2095.6042168511926,2457.559045774911,5147.441699247516
80.25252525252523,0.005555555555555556,77785.72601951497,0.06775854772655983,7.036323739709221,0.08024258719069129,4173.281020098023,29738.911250436373,34155.42292662458,2113.7805828679125,2457.299597109472,5147.030642378611
80.54545454545456,0.005555555555555556,77948.54520762157,0.06738840443430952,6.997883974594012,0.08024258719069129,4148.360833878493,29723.204296771175,34341.34663631123,2131.9742547118612,2457.0399404920718,5146.61924545674
80.83838383838383,0.005555555555555556,78110.6228013186,0.06702537425404718,6.960182967305882,0.08024258719069129,4123.77328314838,29707.546703617558,34526.129593120786,2150.185627553029,2456.7800795989588,5146.207514279895
81.1313131313131,0.005555555555555556,78271.96451521084,0.06666925991035381,6.923200227544165,0.08024258719069129,4099.511486316258,29691.93832355462,34709.784143795834,2168.4150887923715,2456.520018105886,5145.7954546458595
81.42424242424244,0.005555555555555556,78432.57601723752,0.06631987144192755,6.886916024756218,0.08024258719069129,4075.568754200318,29676.379010126202,34892.322402528895,2186.663018343244,2456.259759687544,5145.38307235131
81.71717171717171,0.005555555555555556,78592.46292876097,0.06597702586544271,6.85131135321846,0.08024258719069129,4051.9385832743537,29660.86861783707,35073.75625758591,2204.9297888550304,2455.9993080172558,5144.9703731913305
82.01010101010104,0.005555555555555556,78751.63082486336,0.06564054685767752,6.816367899015377,0.08024258719069129,4028.6146491991553,29645.40700213824,35254.09737781118,2223.2157659899663,2455.7386667663654,5144.557362958449
82.30303030303031,0.005555555555555556,78910.08523451173,0.06531026445487591,6.782068008808924,0.08024258719069129,4005.590800624106,29629.994019424088,35433.35721879562,2241.521308620975,2455.4778396042734,5144.144047442684
82.59595959595958,0.005555555555555556,79067.83164086037,0.06498601476825273,6.748394660285046,0.08024258719069129,3982.8610532466546,29614.62952702259,35611.54702888574,2259.8467690761127,2455.216830198157,5143.730432431115
82.88888888888891,0.005555555555555556,79224.87548147787,0.06466763971472292,6.715331434181802,0.08024258719069129,3960.4195841159685,29599.31338318433,35788.67785490218,2278.192493356271,2454.9556422123005,5143.31652370682
83.18181818181819,0.005555555555555556,79381.22214860532,0.06435498676171697,6.682862487780851,0.08024258719069129,3938.2607261696767,29584.045447073204,35964.76054768305,2296.5588213231076,2454.6942793078274,5142.902327048439
83.47474747474746,0.005555555555555556,79536.87698946704,0.06404790868545919,6.6509725297975715,0.08024258719069129,3916.3789629942457,29568.82557876543,36139.805767417696,2314.9460869163,2454.4327451428903,5142.487848230494
83.76767676767679,0.005555555555555556,79691.84530653169,0.06374626334171044,6.619646796566053,0.08024258719069129,3894.7689237949053,29553.65363923508,36313.82398877527,2333.354618332377,2454.1710433718963,5142.073093022148
84.06060606060606,0.005555555555555556,79846.13235783661,0.06344991344833223,6.5888710294521715,0.08024258719069129,3873.425378568235,29538.529490346747,36486.82550586775,2351.784738221727,2453.9091776452797,5141.658067186852
84.35353535353534,0.005555555555555556,79999.74335729008,0.06315872637893938,6.558631453418604,0.08024258719069129,3852.3432334672216,29523.45299485151,36658.82043701545,2370.236763864155,2453.6471516094616,5141.242776482275
84.64646464646466,0.005555555555555556,80152.683474976,0.06287257396693938,6.528914756668869,0.08024258719069129,3831.5175263483397,29508.424016374913,36829.81872935504,2388.7110073319805,2453.384968906294,5140.827226659433
84.93939393939394,0.005555555555555556,80304.95783749814,0.06259133231942665,6.499708071315141,0.08024258719069129,3810.9434224949728,29493.442419412742,36999.83016329278,2407.2077756618796,2453.1226331730686,5140.411423462695
85.23232323232321,0.005555555555555556,80456.57152829059,0.06231488164039349,6.470998955013915,0.08024258719069129,3790.6162105066915,29478.50806932316,37168.864356766426,2425.7273710232253,2452.860148042044,5139.995372629035
85.52525252525254,0.005555555555555556,80607.52958798593,0.06204310606250516,6.442775373491357,0.08024258719069129,3770.531298348182,29463.620832319328,37336.93076942549,2444.2700908644983,2452.597517140426,5139.579079888003
85.81818181818181,0.005555555555555556,80757.83701469477,0.06177589348722569,6.415025683936154,0.08024258719069129,3750.6842095492916,29448.78057545955,37504.038706586696,2462.8362280488095,2452.334744089724,5139.162550960706
86.11111111111109,0.005555555555555556,80907.4987644389,0.06151313543266061,6.387738619194014,0.08024258719069129,3731.070579552772,29433.987166646588,37670.197323144595,2481.426071028405,2452.0718325061384,5138.745791560416
86.40404040404042,0.005555555555555556,81056.51975142506,0.06125472688876733,6.360903272727548,0.08024258719069129,3711.6861521975893,29419.240474615646,37835.41562725218,2500.039903968736,2451.808785999697,5138.328807391207
