Flow_Rate [m3/h],T_htf_in [°C],T_htf_out [°C],P_evap [bar],T_turb_in [°C],m_orc [kg/s],W_net [kW],Q_in [kW],η_th [-],ε_ex [-],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K]
,76.9697,66.9697,4.2379,66.9697,7.5669,90.0218,1631.2143,0.0552,0.4055,0.4364,72.2270,21.3207,-38.8025,55.1815,19.9523
,76.9697,66.9697,4.2379,66.9697,7.8372,93.2368,1689.4720,0.0552,0.4055,0.4520,74.8065,22.0821,-40.1883,57.1523,19.9523
,77.2727,67.2727,4.2754,67.2727,2.4298,29.2305,524.3455,0.0557,0.4073,0.1424,23.2462,6.9219,-12.5267,17.7837,20.0555
,77.2727,67.2727,4.2754,67.2727,2.6998,32.4783,582.6061,0.0557,0.4073,0.1582,25.8291,7.6910,-13.9186,19.7597,20.0555
,77.2727,67.2727,4.2754,67.2727,2.9698,35.7262,640.8667,0.0557,0.4073,0.1740,28.4120,8.4601,-15.3104,21.7357,20.0555
,77.2727,67.2727,4.2754,67.2727,3.2398,38.9740,699.1274,0.0557,0.4073,0.1898,30.9949,9.2292,-16.7023,23.7117,20.0555
,77.2727,67.2727,4.2754,67.2727,3.5097,42.2218,757.3880,0.0557,0.4073,0.2057,33.5779,9.9983,-18.0942,25.6876,20.0555
,77.2727,67.2727,4.2754,67.2727,3.7797,45.4697,815.6486,0.0557,0.4073,0.2215,36.1608,10.7674,-19.4860,27.6636,20.0555
,77.2727,67.2727,4.2754,67.2727,4.0497,48.7175,873.9092,0.0557,0.4073,0.2373,38.7437,11.5365,-20.8779,29.6396,20.0555
,77.2727,67.2727,4.2754,67.2727,4.3197,51.9653,932.1698,0.0557,0.4073,0.2531,41.3266,12.3055,-22.2697,31.6155,20.0555
,77.2727,67.2727,4.2754,67.2727,4.5897,55.2132,990.4304,0.0557,0.4073,0.2689,43.9095,13.0746,-23.6616,33.5915,20.0555
,77.2727,67.2727,4.2754,67.2727,4.8596,58.4610,1048.6910,0.0557,0.4073,0.2848,46.4924,13.8437,-25.0534,35.5675,20.0555
,77.2727,67.2727,4.2754,67.2727,5.1296,61.7088,1106.9517,0.0557,0.4073,0.3006,49.0753,14.6128,-26.4453,37.5435,20.0555
,77.2727,67.2727,4.2754,67.2727,5.3996,64.9567,1165.2123,0.0557,0.4073,0.3164,51.6582,15.3819,-27.8372,39.5194,20.0555
,77.2727,67.2727,4.2754,67.2727,5.6696,68.2045,1223.4729,0.0557,0.4073,0.3322,54.2412,16.1510,-29.2290,41.4954,20.0555
,77.2727,67.2727,4.2754,67.2727,5.9396,71.4523,1281.7335,0.0557,0.4073,0.3480,56.8241,16.9201,-30.6209,43.4714,20.0555
,77.2727,67.2727,4.2754,67.2727,6.2095,74.7002,1339.9941,0.0557,0.4073,0.3639,59.4070,17.6892,-32.0127,45.4473,20.0555
,77.2727,67.2727,4.2754,67.2727,6.4795,77.9480,1398.2547,0.0557,0.4073,0.3797,61.9899,18.4583,-33.4046,47.4233,20.0555
,77.2727,67.2727,4.2754,67.2727,6.7495,81.1958,1456.5153,0.0557,0.4073,0.3955,64.5728,19.2274,-34.7965,49.3993,20.0555
,77.2727,67.2727,4.2754,67.2727,7.0195,84.4437,1514.7760,0.0557,0.4073,0.4113,67.1557,19.9965,-36.1883,51.3752,20.0555
,77.2727,67.2727,4.2754,67.2727,7.2895,87.6915,1573.0366,0.0557,0.4073,0.4271,69.7386,20.7656,-37.5802,53.3512,20.0555
,77.2727,67.2727,4.2754,67.2727,7.5594,90.9393,1631.2972,0.0557,0.4073,0.4430,72.3215,21.5347,-38.9720,55.3272,20.0555
,77.2727,67.2727,4.2754,67.2727,7.8294,94.1872,1689.5578,0.0557,0.4073,0.4588,74.9045,22.3038,-40.3639,57.3032,20.0555
,77.5758,67.5758,4.3132,67.5758,2.4274,29.5243,524.3724,0.0563,0.4092,0.1445,23.2773,6.9904,-12.5811,17.8310,20.1584
,77.5758,67.5758,4.3132,67.5758,2.6971,32.8048,582.6360,0.0563,0.4092,0.1606,25.8636,7.7671,-13.9791,19.8122,20.1584
,77.5758,67.5758,4.3132,67.5758,2.9668,36.0853,640.8995,0.0563,0.4092,0.1766,28.4500,8.5438,-15.3770,21.7935,20.1584
,77.5758,67.5758,4.3132,67.5758,3.2366,39.3658,699.1631,0.0563,0.4092,0.1927,31.0364,9.3205,-16.7749,23.7747,20.1584
,77.5758,67.5758,4.3132,67.5758,3.5063,42.6462,757.4267,0.0563,0.4092,0.2087,33.6227,10.0972,-18.1728,25.7559,20.1584
,77.5758,67.5758,4.3132,67.5758,3.7760,45.9267,815.6903,0.0563,0.4092,0.2248,36.2091,10.8739,-19.5707,27.7371,20.1584
,77.5758,67.5758,4.3132,67.5758,4.0457,49.2072,873.9539,0.0563,0.4092,0.2408,38.7955,11.6506,-20.9686,29.7184,20.1584
,77.5758,67.5758,4.3132,67.5758,4.3154,52.4877,932.2175,0.0563,0.4092,0.2569,41.3818,12.4273,-22.3665,31.6996,20.1584
,77.5758,67.5758,4.3132,67.5758,4.5851,55.7682,990.4811,0.0563,0.4092,0.2730,43.9682,13.2041,-23.7644,33.6808,20.1584
,77.5758,67.5758,4.3132,67.5758,4.8548,59.0486,1048.7447,0.0563,0.4092,0.2890,46.5546,13.9808,-25.1623,35.6620,20.1584
,77.5758,67.5758,4.3132,67.5758,5.1245,62.3291,1107.0083,0.0563,0.4092,0.3051,49.1409,14.7575,-26.5602,37.6433,20.1584
,77.5758,67.5758,4.3132,67.5758,5.3943,65.6096,1165.2719,0.0563,0.4092,0.3211,51.7273,15.5342,-27.9581,39.6245,20.1584
,77.5758,67.5758,4.3132,67.5758,5.6640,68.8901,1223.5355,0.0563,0.4092,0.3372,54.3137,16.3109,-29.3560,41.6057,20.1584
,77.5758,67.5758,4.3132,67.5758,5.9337,72.1706,1281.7991,0.0563,0.4092,0.3532,56.9000,17.0876,-30.7539,43.5869,20.1584
,77.5758,67.5758,4.3132,67.5758,6.2034,75.4510,1340.0627,0.0563,0.4092,0.3693,59.4864,17.8643,-32.1518,45.5682,20.1584
,77.5758,67.5758,4.3132,67.5758,6.4731,78.7315,1398.3263,0.0563,0.4092,0.3853,62.0728,18.6410,-33.5497,47.5494,20.1584
,77.5758,67.5758,4.3132,67.5758,6.7428,82.0120,1456.5899,0.0563,0.4092,0.4014,64.6591,19.4177,-34.9476,49.5306,20.1584
,77.5758,67.5758,4.3132,67.5758,7.0125,85.2925,1514.8535,0.0563,0.4092,0.4175,67.2455,20.1944,-36.3455,51.5118,20.1584
,77.5758,67.5758,4.3132,67.5758,7.2822,88.5730,1573.1171,0.0563,0.4092,0.4335,69.8319,20.9711,-37.7434,53.4931,20.1584
,77.5758,67.5758,4.3132,67.5758,7.5520,91.8534,1631.3807,0.0563,0.4092,0.4496,72.4182,21.7479,-39.1413,55.4743,20.1584
,77.5758,67.5758,4.3132,67.5758,7.8217,95.1339,1689.6443,0.0563,0.4092,0.4656,75.0046,22.5246,-40.5393,57.4555,20.1584
,77.8788,67.8788,4.3512,67.8788,2.4250,29.8170,524.3994,0.0569,0.4109,0.1466,23.3090,7.0586,-12.6355,17.8788,20.2611
,77.8788,67.8788,4.3512,67.8788,2.6945,33.1300,582.6660,0.0569,0.4109,0.1629,25.8989,7.8429,-14.0395,19.8653,20.2611
,77.8788,67.8788,4.3512,67.8788,2.9639,36.4430,640.9326,0.0569,0.4109,0.1792,28.4888,8.6272,-15.4434,21.8518,20.2611
,77.8788,67.8788,4.3512,67.8788,3.2334,39.7560,699.1992,0.0569,0.4109,0.1955,31.0787,9.4115,-16.8474,23.8384,20.2611
,77.8788,67.8788,4.3512,67.8788,3.5028,43.0690,757.4658,0.0569,0.4109,0.2118,33.6686,10.1958,-18.2513,25.8249,20.2611
,77.8788,67.8788,4.3512,67.8788,3.7723,46.3820,815.7324,0.0569,0.4109,0.2281,36.2585,10.9801,-19.6552,27.8114,20.2611
,77.8788,67.8788,4.3512,67.8788,4.0417,49.6950,873.9990,0.0569,0.4109,0.2444,38.8484,11.7644,-21.0592,29.7979,20.2611
,77.8788,67.8788,4.3512,67.8788,4.3111,53.0080,932.2656,0.0569,0.4109,0.2607,41.4383,12.5486,-22.4631,31.7845,20.2611
,77.8788,67.8788,4.3512,67.8788,4.5806,56.3210,990.5322,0.0569,0.4109,0.2770,44.0282,13.3329,-23.8671,33.7710,20.2611
,77.8788,67.8788,4.3512,67.8788,4.8500,59.6340,1048.7988,0.0569,0.4109,0.2933,46.6181,14.1172,-25.2710,35.7575,20.2611
,77.8788,67.8788,4.3512,67.8788,5.1195,62.9470,1107.0654,0.0569,0.4109,0.3096,49.2080,14.9015,-26.6750,37.7441,20.2611
,77.8788,67.8788,4.3512,67.8788,5.3889,66.2601,1165.3320,0.0569,0.4109,0.3259,51.7979,15.6858,-28.0789,39.7306,20.2611
,77.8788,67.8788,4.3512,67.8788,5.6584,69.5731,1223.5986,0.0569,0.4109,0.3421,54.3878,16.4701,-29.4829,41.7171,20.2611
,77.8788,67.8788,4.3512,67.8788,5.9278,72.8861,1281.8652,0.0569,0.4109,0.3584,56.9776,17.2544,-30.8868,43.7037,20.2611
,77.8788,67.8788,4.3512,67.8788,6.1973,76.1991,1340.1318,0.0569,0.4109,0.3747,59.5675,18.0387,-32.2908,45.6902,20.2611
,77.8788,67.8788,4.3512,67.8788,6.4667,79.5121,1398.3984,0.0569,0.4109,0.3910,62.1574,18.8230,-33.6947,47.6767,20.2611
,77.8788,67.8788,4.3512,67.8788,6.7362,82.8251,1456.6650,0.0569,0.4109,0.4073,64.7473,19.6073,-35.0987,49.6632,20.2611
,77.8788,67.8788,4.3512,67.8788,7.0056,86.1381,1514.9316,0.0569,0.4109,0.4236,67.3372,20.3915,-36.5026,51.6498,20.2611
,77.8788,67.8788,4.3512,67.8788,7.2751,89.4511,1573.1982,0.0569,0.4109,0.4399,69.9271,21.1758,-37.9066,53.6363,20.2611
,77.8788,67.8788,4.3512,67.8788,7.5445,92.7641,1631.4648,0.0569,0.4109,0.4562,72.5170,21.9601,-39.3105,55.6228,20.2611
,77.8788,67.8788,4.3512,67.8788,7.8140,96.0771,1689.7314,0.0569,0.4109,0.4725,75.1069,22.7444,-40.7144,57.6094,20.2611
,78.1818,68.1818,4.3895,68.1818,2.4226,30.1086,524.4266,0.0574,0.4127,0.1488,23.3415,7.1266,-12.6898,17.9270,20.3635
,78.1818,68.1818,4.3895,68.1818,2.6918,33.4540,582.6962,0.0574,0.4127,0.1653,25.9350,7.9184,-14.0998,19.9189,20.3635
,78.1818,68.1818,4.3895,68.1818,2.9610,36.7994,640.9659,0.0574,0.4127,0.1818,28.5285,8.7102,-15.5098,21.9107,20.3635
,78.1818,68.1818,4.3895,68.1818,3.2302,40.1448,699.2355,0.0574,0.4127,0.1984,31.1220,9.5021,-16.9198,23.9026,20.3635
,78.1818,68.1818,4.3895,68.1818,3.4994,43.4902,757.5051,0.0574,0.4127,0.2149,33.7155,10.2939,-18.3298,25.8945,20.3635
,78.1818,68.1818,4.3895,68.1818,3.7685,46.8356,815.7747,0.0574,0.4127,0.2314,36.3090,11.0858,-19.7397,27.8864,20.3635
,78.1818,68.1818,4.3895,68.1818,4.0377,50.1810,874.0444,0.0574,0.4127,0.2480,38.9024,11.8776,-21.1497,29.8783,20.3635
,78.1818,68.1818,4.3895,68.1818,4.3069,53.5264,932.3140,0.0574,0.4127,0.2645,41.4959,12.6694,-22.5597,31.8702,20.3635
,78.1818,68.1818,4.3895,68.1818,4.5761,56.8718,990.5836,0.0574,0.4127,0.2810,44.0894,13.4613,-23.9697,33.8621,20.3635
,78.1818,68.1818,4.3895,68.1818,4.8453,60.2172,1048.8532,0.0574,0.4127,0.2976,46.6829,14.2531,-25.3797,35.8539,20.3635
,78.1818,68.1818,4.3895,68.1818,5.1144,63.5626,1107.1229,0.0574,0.4127,0.3141,49.2764,15.0450,-26.7896,37.8458,20.3635
,78.1818,68.1818,4.3895,68.1818,5.3836,66.9080,1165.3925,0.0574,0.4127,0.3306,51.8699,15.8368,-28.1996,39.8377,20.3635
,78.1818,68.1818,4.3895,68.1818,5.6528,70.2534,1223.6621,0.0574,0.4127,0.3471,54.4634,16.6286,-29.6096,41.8296,20.3635
,78.1818,68.1818,4.3895,68.1818,5.9220,73.5988,1281.9317,0.0574,0.4127,0.3637,57.0569,17.4205,-31.0196,43.8215,20.3635
,78.1818,68.1818,4.3895,68.1818,6.1912,76.9442,1340.2014,0.0574,0.4127,0.3802,59.6504,18.2123,-32.4296,45.8134,20.3635
,78.1818,68.1818,4.3895,68.1818,6.4604,80.2896,1398.4710,0.0574,0.4127,0.3967,62.2439,19.0042,-33.8395,47.8053,20.3635
,78.1818,68.1818,4.3895,68.1818,6.7295,83.6350,1456.7406,0.0574,0.4127,0.4133,64.8374,19.7960,-35.2495,49.7972,20.3635
,78.1818,68.1818,4.3895,68.1818,6.9987,86.9804,1515.0102,0.0574,0.4127,0.4298,67.4309,20.5878,-36.6595,51.7890,20.3635
,78.1818,68.1818,4.3895,68.1818,7.2679,90.3258,1573.2798,0.0574,0.4127,0.4463,70.0244,21.3797,-38.0695,53.7809,20.3635
,78.1818,68.1818,4.3895,68.1818,7.5371,93.6712,1631.5495,0.0574,0.4127,0.4629,72.6179,22.1715,-39.4795,55.7728,20.3635
,78.1818,68.1818,4.3895,68.1818,7.8063,97.0166,1689.8191,0.0574,0.4127,0.4794,75.2114,22.9633,-40.8895,57.7647,20.3635
,78.4848,68.4848,4.4280,68.4848,2.4203,30.3991,524.4540,0.0580,0.4144,0.1509,23.3746,7.1942,-12.7441,17.9756,20.4657
,78.4848,68.4848,4.4280,68.4848,2.6892,33.7768,582.7267,0.0580,0.4144,0.1677,25.9717,7.9936,-14.1601,19.9729,20.4657
,78.4848,68.4848,4.4280,68.4848,2.9581,37.1545,640.9994,0.0580,0.4144,0.1845,28.5689,8.7929,-15.5761,21.9702,20.4657
,78.4848,68.4848,4.4280,68.4848,3.2270,40.5321,699.2721,0.0580,0.4144,0.2012,31.1661,9.5923,-16.9921,23.9675,20.4657
,78.4848,68.4848,4.4280,68.4848,3.4959,43.9098,757.5447,0.0580,0.4144,0.2180,33.7633,10.3917,-18.4081,25.9648,20.4657
,78.4848,68.4848,4.4280,68.4848,3.7648,47.2875,815.8174,0.0580,0.4144,0.2348,36.3604,11.1910,-19.8241,27.9621,20.4657
,78.4848,68.4848,4.4280,68.4848,4.0338,50.6652,874.0901,0.0580,0.4144,0.2516,38.9576,11.9904,-21.2401,29.9594,20.4657
,78.4848,68.4848,4.4280,68.4848,4.3027,54.0428,932.3627,0.0580,0.4144,0.2683,41.5548,12.7897,-22.6562,31.9567,20.4657
,78.4848,68.4848,4.4280,68.4848,4.5716,57.4205,990.6354,0.0580,0.4144,0.2851,44.1520,13.5891,-24.0722,33.9540,20.4657
,78.4848,68.4848,4.4280,68.4848,4.8405,60.7982,1048.9081,0.0580,0.4144,0.3019,46.7491,14.3884,-25.4882,35.9513,20.4657
,78.4848,68.4848,4.4280,68.4848,5.1094,64.1759,1107.1808,0.0580,0.4144,0.3186,49.3463,15.1878,-26.9042,37.9486,20.4657
,78.4848,68.4848,4.4280,68.4848,5.3783,67.5535,1165.4534,0.0580,0.4144,0.3354,51.9435,15.9872,-28.3202,39.9459,20.4657
,78.4848,68.4848,4.4280,68.4848,5.6473,70.9312,1223.7261,0.0580,0.4144,0.3522,54.5407,16.7865,-29.7362,41.9432,20.4657
,78.4848,68.4848,4.4280,68.4848,5.9162,74.3089,1281.9988,0.0580,0.4144,0.3689,57.1378,17.5859,-31.1522,43.9405,20.4657
,78.4848,68.4848,4.4280,68.4848,6.1851,77.6866,1340.2714,0.0580,0.4144,0.3857,59.7350,18.3852,-32.5682,45.9377,20.4657
,78.4848,68.4848,4.4280,68.4848,6.4540,81.0643,1398.5441,0.0580,0.4144,0.4025,62.3322,19.1846,-33.9842,47.9350,20.4657
,78.4848,68.4848,4.4280,68.4848,6.7229,84.4419,1456.8168,0.0580,0.4144,0.4193,64.9294,19.9839,-35.4002,49.9323,20.4657
,78.4848,68.4848,4.4280,68.4848,6.9918,87.8196,1515.0895,0.0580,0.4144,0.4360,67.5265,20.7833,-36.8162,51.9296,20.4657
,78.4848,68.4848,4.4280,68.4848,7.2608,91.1973,1573.3621,0.0580,0.4144,0.4528,70.1237,21.5827,-38.2323,53.9269,20.4657
,78.4848,68.4848,4.4280,68.4848,7.5297,94.5750,1631.6348,0.0580,0.4144,0.4696,72.7209,22.3820,-39.6483,55.9242,20.4657
,78.4848,68.4848,4.4280,68.4848,7.7986,97.9526,1689.9075,0.0580,0.4144,0.4863,75.3181,23.1814,-41.0643,57.9215,20.4657
,78.7879,68.7879,4.4668,68.7879,2.4179,30.6885,524.4817,0.0585,0.4161,0.1531,23.4083,7.2616,-12.7983,18.0248,20.5676
,78.7879,68.7879,4.4668,68.7879,2.6865,34.0983,582.7574,0.0585,0.4161,0.1701,26.0093,8.0684,-14.2203,20.0275,20.5676
,78.7879,68.7879,4.4668,68.7879,2.9552,37.5081,641.0331,0.0585,0.4161,0.1871,28.6102,8.8753,-15.6423,22.0303,20.5676
,78.7879,68.7879,4.4668,68.7879,3.2238,40.9180,699.3089,0.0585,0.4161,0.2041,31.2111,9.6821,-17.0644,24.0330,20.5676
,78.7879,68.7879,4.4668,68.7879,3.4925,44.3278,757.5846,0.0585,0.4161,0.2211,33.8121,10.4890,-18.4864,26.0358,20.5676
,78.7879,68.7879,4.4668,68.7879,3.7611,47.7376,815.8604,0.0585,0.4161,0.2382,36.4130,11.2958,-19.9084,28.0385,20.5676
,78.7879,68.7879,4.4668,68.7879,4.0298,51.1475,874.1361,0.0585,0.4161,0.2552,39.0139,12.1027,-21.3305,30.0413,20.5676
,78.7879,68.7879,4.4668,68.7879,4.2985,54.5573,932.4118,0.0585,0.4161,0.2722,41.6148,12.9095,-22.7525,32.0440,20.5676
,78.7879,68.7879,4.4668,68.7879,4.5671,57.9671,990.6876,0.0585,0.4161,0.2892,44.2158,13.7164,-24.1745,34.0468,20.5676
,78.7879,68.7879,4.4668,68.7879,4.8358,61.3770,1048.9633,0.0585,0.4161,0.3062,46.8167,14.5232,-25.5966,36.0495,20.5676
,78.7879,68.7879,4.4668,68.7879,5.1044,64.7868,1107.2391,0.0585,0.4161,0.3232,49.4176,15.3300,-27.0186,38.0523,20.5676
,78.7879,68.7879,4.4668,68.7879,5.3731,68.1966,1165.5148,0.0585,0.4161,0.3402,52.0185,16.1369,-28.4406,40.0550,20.5676
,78.7879,68.7879,4.4668,68.7879,5.6417,71.6065,1223.7906,0.0585,0.4161,0.3572,54.6195,16.9437,-29.8627,42.0578,20.5676
,78.7879,68.7879,4.4668,68.7879,5.9104,75.0163,1282.0663,0.0585,0.4161,0.3742,57.2204,17.7506,-31.2847,44.0605,20.5676
,78.7879,68.7879,4.4668,68.7879,6.1790,78.4261,1340.3420,0.0585,0.4161,0.3912,59.8213,18.5574,-32.7067,46.0633,20.5676
,78.7879,68.7879,4.4668,68.7879,6.4477,81.8359,1398.6178,0.0585,0.4161,0.4083,62.4223,19.3643,-34.1288,48.0660,20.5676
,78.7879,68.7879,4.4668,68.7879,6.7163,85.2458,1456.8935,0.0585,0.4161,0.4253,65.0232,20.1711,-35.5508,50.0688,20.5676
,78.7879,68.7879,4.4668,68.7879,6.9850,88.6556,1515.1693,0.0585,0.4161,0.4423,67.6241,20.9780,-36.9728,52.0715,20.5676
,78.7879,68.7879,4.4668,68.7879,7.2536,92.0654,1573.4450,0.0585,0.4161,0.4593,70.2250,21.7848,-38.3949,54.0743,20.5676
,78.7879,68.7879,4.4668,68.7879,7.5223,95.4753,1631.7207,0.0585,0.4161,0.4763,72.8260,22.5917,-39.8169,56.0770,20.5676
,78.7879,68.7879,4.4668,68.7879,7.7910,98.8851,1689.9965,0.0585,0.4161,0.4933,75.4269,23.3985,-41.2389,58.0798,20.5676
,79.0909,69.0909,4.5059,69.0909,2.4155,30.9768,524.5095,0.0591,0.4177,0.1553,23.4428,7.3287,-12.8524,18.0743,20.6694
,79.0909,69.0909,4.5059,69.0909,2.6839,34.4186,582.7883,0.0591,0.4177,0.1725,26.0475,8.1430,-14.2805,20.0826,20.6694
,79.0909,69.0909,4.5059,69.0909,2.9523,37.8605,641.0672,0.0591,0.4177,0.1898,28.6523,8.9573,-15.7085,22.0909,20.6694
,79.0909,69.0909,4.5059,69.0909,3.2207,41.3024,699.3460,0.0591,0.4177,0.2070,31.2570,9.7716,-17.1366,24.0991,20.6694
,79.0909,69.0909,4.5059,69.0909,3.4891,44.7442,757.6248,0.0591,0.4177,0.2243,33.8618,10.5859,-18.5646,26.1074,20.6694
,79.0909,69.0909,4.5059,69.0909,3.7575,48.1861,815.9036,0.0591,0.4177,0.2415,36.4665,11.4002,-19.9927,28.1156,20.6694
,79.0909,69.0909,4.5059,69.0909,4.0259,51.6279,874.1825,0.0591,0.4177,0.2588,39.0713,12.2145,-21.4207,30.1239,20.6694
,79.0909,69.0909,4.5059,69.0909,4.2943,55.0698,932.4613,0.0591,0.4177,0.2760,41.6761,13.0288,-22.8488,32.1322,20.6694
,79.0909,69.0909,4.5059,69.0909,4.5626,58.5117,990.7401,0.0591,0.4177,0.2933,44.2808,13.8431,-24.2768,34.1404,20.6694
,79.0909,69.0909,4.5059,69.0909,4.8310,61.9535,1049.0190,0.0591,0.4177,0.3105,46.8856,14.6574,-25.7048,36.1487,20.6694
,79.0909,69.0909,4.5059,69.0909,5.0994,65.3954,1107.2978,0.0591,0.4177,0.3278,49.4903,15.4717,-27.1329,38.1569,20.6694
,79.0909,69.0909,4.5059,69.0909,5.3678,68.8373,1165.5766,0.0591,0.4177,0.3451,52.0951,16.2860,-28.5609,40.1652,20.6694
,79.0909,69.0909,4.5059,69.0909,5.6362,72.2791,1223.8555,0.0591,0.4177,0.3623,54.6998,17.1003,-29.9890,42.1735,20.6694
,79.0909,69.0909,4.5059,69.0909,5.9046,75.7210,1282.1343,0.0591,0.4177,0.3796,57.3046,17.9146,-31.4170,44.1817,20.6694
,79.0909,69.0909,4.5059,69.0909,6.1730,79.1628,1340.4131,0.0591,0.4177,0.3968,59.9093,18.7289,-32.8451,46.1900,20.6694
,79.0909,69.0909,4.5059,69.0909,6.4414,82.6047,1398.6920,0.0591,0.4177,0.4141,62.5141,19.5432,-34.2731,48.1982,20.6694
,79.0909,69.0909,4.5059,69.0909,6.7098,86.0466,1456.9708,0.0591,0.4177,0.4313,65.1188,20.3575,-35.7012,50.2065,20.6694
,79.0909,69.0909,4.5059,69.0909,6.9782,89.4884,1515.2496,0.0591,0.4177,0.4486,67.7236,21.1718,-37.1292,52.2148,20.6694
,79.0909,69.0909,4.5059,69.0909,7.2465,92.9303,1573.5285,0.0591,0.4177,0.4658,70.3283,21.9861,-38.5573,54.2230,20.6694
,79.0909,69.0909,4.5059,69.0909,7.5149,96.3722,1631.8073,0.0591,0.4177,0.4831,72.9331,22.8004,-39.9853,56.2313,20.6694
,79.0909,69.0909,4.5059,69.0909,7.7833,99.8140,1690.0861,0.0591,0.4177,0.5003,75.5379,23.6147,-41.4134,58.2395,20.6694
,79.3939,69.3939,4.5452,69.3939,2.4132,31.2640,524.5375,0.0596,0.4194,0.1575,23.4779,7.3955,-12.9065,18.1244,20.7709
,79.3939,69.3939,4.5452,69.3939,2.6813,34.7377,582.8195,0.0596,0.4194,0.1750,26.0865,8.2173,-14.3406,20.1382,20.7709
,79.3939,69.3939,4.5452,69.3939,2.9494,38.2115,641.1014,0.0596,0.4194,0.1925,28.6952,9.0390,-15.7746,22.1520,20.7709
,79.3939,69.3939,4.5452,69.3939,3.2175,41.6853,699.3833,0.0596,0.4194,0.2099,31.3038,9.8607,-17.2087,24.1658,20.7709
,79.3939,69.3939,4.5452,69.3939,3.4857,45.1591,757.6653,0.0596,0.4194,0.2274,33.9125,10.6824,-18.6427,26.1796,20.7709
,79.3939,69.3939,4.5452,69.3939,3.7538,48.6328,815.9472,0.0596,0.4194,0.2449,36.5211,11.5042,-20.0768,28.1935,20.7709
,79.3939,69.3939,4.5452,69.3939,4.0219,52.1066,874.2292,0.0596,0.4194,0.2624,39.1298,12.3259,-21.5108,30.2073,20.7709
,79.3939,69.3939,4.5452,69.3939,4.2901,55.5804,932.5111,0.0596,0.4194,0.2799,41.7384,13.1476,-22.9449,32.2211,20.7709
,79.3939,69.3939,4.5452,69.3939,4.5582,59.0541,990.7931,0.0596,0.4194,0.2974,44.3471,13.9693,-24.3790,34.2349,20.7709
,79.3939,69.3939,4.5452,69.3939,4.8263,62.5279,1049.0750,0.0596,0.4194,0.3149,46.9558,14.7911,-25.8130,36.2487,20.7709
,79.3939,69.3939,4.5452,69.3939,5.0944,66.0017,1107.3570,0.0596,0.4194,0.3324,49.5644,15.6128,-27.2471,38.2626,20.7709
,79.3939,69.3939,4.5452,69.3939,5.3626,69.4755,1165.6389,0.0596,0.4194,0.3499,52.1731,16.4345,-28.6811,40.2764,20.7709
,79.3939,69.3939,4.5452,69.3939,5.6307,72.9492,1223.9209,0.0596,0.4194,0.3674,54.7817,17.2562,-30.1152,42.2902,20.7709
,79.3939,69.3939,4.5452,69.3939,5.8988,76.4230,1282.2028,0.0596,0.4194,0.3849,57.3904,18.0780,-31.5492,44.3040,20.7709
,79.3939,69.3939,4.5452,69.3939,6.1670,79.8968,1340.4847,0.0596,0.4194,0.4024,59.9990,18.8997,-32.9833,46.3178,20.7709
,79.3939,69.3939,4.5452,69.3939,6.4351,83.3706,1398.7667,0.0596,0.4194,0.4199,62.6077,19.7214,-34.4173,48.3316,20.7709
,79.3939,69.3939,4.5452,69.3939,6.7032,86.8443,1457.0486,0.0596,0.4194,0.4374,65.2163,20.5431,-35.8514,50.3455,20.7709
,79.3939,69.3939,4.5452,69.3939,6.9713,90.3181,1515.3306,0.0596,0.4194,0.4549,67.8250,21.3649,-37.2855,52.3593,20.7709
,79.3939,69.3939,4.5452,69.3939,7.2395,93.7919,1573.6125,0.0596,0.4194,0.4724,70.4336,22.1866,-38.7195,54.3731,20.7709
,79.3939,69.3939,4.5452,69.3939,7.5076,97.2657,1631.8945,0.0596,0.4194,0.4899,73.0423,23.0083,-40.1536,56.3869,20.7709
,79.3939,69.3939,4.5452,69.3939,7.7757,100.7394,1690.1764,0.0596,0.4194,0.5074,75.6509,23.8300,-41.5876,58.4007,20.7709
,79.6970,69.6970,4.5848,69.6970,2.4108,31.5501,524.5657,0.0601,0.4210,0.1597,23.5136,7.4621,-12.9605,18.1748,20.8722
,79.6970,69.6970,4.5848,69.6970,2.6787,35.0556,582.8508,0.0601,0.4210,0.1774,26.1263,8.2912,-14.4006,20.1943,20.8722
,79.6970,69.6970,4.5848,69.6970,2.9465,38.5612,641.1359,0.0601,0.4210,0.1951,28.7389,9.1203,-15.8406,22.2137,20.8722
,79.6970,69.6970,4.5848,69.6970,3.2144,42.0668,699.4210,0.0601,0.4210,0.2129,31.3515,9.9494,-17.2807,24.2331,20.8722
,79.6970,69.6970,4.5848,69.6970,3.4823,45.5723,757.7061,0.0601,0.4210,0.2306,33.9641,10.7786,-18.7208,26.2526,20.8722
,79.6970,69.6970,4.5848,69.6970,3.7501,49.0779,815.9911,0.0601,0.4210,0.2484,36.5768,11.6077,-20.1608,28.2720,20.8722
,79.6970,69.6970,4.5848,69.6970,4.0180,52.5835,874.2762,0.0601,0.4210,0.2661,39.1894,12.4368,-21.6009,30.2914,20.8722
,79.6970,69.6970,4.5848,69.6970,4.2859,56.0890,932.5613,0.0601,0.4210,0.2838,41.8020,13.2659,-23.0409,32.3108,20.8722
