W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K],Evap_E_heat_in [kW]
11.478674480480255,254.91818452172996,-243.4395100412497,0.04502885701157886,0.3724765086701701,1.2155763269684583,70.0,62.0,0.0077777777777777776,3.6576118540006934,60.0,0.23713456185227702,10.501052985863272,2.7883654715591124,-4.979015351167972,8.54753766810669,18.18178989698514,30.81717695825129
12.21603417787176,254.74495389644915,-242.52891971857738,0.04795397903283861,0.3841570707706798,1.2083206839264862,71.5263157894737,63.5263157894737,0.0077777777777777776,3.8289203904992553,61.5263157894737,0.2586890402867605,10.545404452319794,2.966426621372589,-5.114662965509012,8.655857148470131,18.71720891097765,31.799581752756666
12.936792010541712,254.57061382861602,-241.6338218180743,0.05081808860802417,0.3947569766022485,1.2011586686757254,73.05263157894734,65.05263157894734,0.0077777777777777776,4.006292845610756,63.05263157894734,0.28079485232140156,10.5984917664762,3.140359749999641,-5.2493595800053034,8.770286788791939,19.24536569413401,32.77153483616995
13.641300565868862,254.39523071722957,-240.75393015136072,0.05362246975860845,0.40438834483026337,1.1940897076123937,74.57894736842104,66.57894736842104,0.0077777777777777776,4.189868511043779,64.57894736842104,0.3034611257699277,10.660006107008929,3.310262963420902,-5.383052163439395,8.890678032760365,19.76672104992052,33.73316946509578
14.329902983520734,254.21887206967898,-239.88896908615823,0.0563683681972794,0.4131486481775677,1.1871132572869263,76.10526315789474,68.10526315789474,0.0077777777777777776,4.379787965537106,66.10526315789474,0.3266970506885987,10.729649723534173,3.4762324415868022,-5.515689743174179,9.016889472635395,20.281685872202385,34.684617865097955
15.002933235191247,254.0416061978892,-239.03867296269794,0.059056992512889823,0.4211230141975693,1.1802288033992294,77.63157894736844,69.63157894736844,0.0077777777777777776,4.576193079036768,67.63157894736844,0.35051188777414943,10.807135610098602,3.6383624863154598,-5.647223273762308,9.148786710425902,20.790628399013364,35.62601123516997
15.66071638778504,253.8635019452228,-238.20278555743778,0.06168951530166877,0.4283861058123283,1.1734358600167072,79.15789473684208,71.15789473684208,0.0077777777777777776,4.779227019225164,69.15789473684208,0.3749149773768704,10.892187192927224,3.796745567520251,-5.777605507964689,9.286242229859656,21.293880160023146,36.55747974852818
16.303568851410038,253.68462844241836,-237.38105959100832,0.06426707424691537,0.4350036684909465,1.1667339690028746,80.68421052631578,72.68421052631578,0.0077777777777777776,4.989034260530281,70.68421052631578,0.3999157490485085,10.984538031838849,3.9514723680179564,-5.906790869947924,9.42913527895739,21.791740894588997,37.47915255052465
16.931798613141844,253.50505489002444,-236.57325627688257,0.0667907731484376,0.4410338110019754,1.160122699642278,82.21052631578948,74.21052631578948,0.0077777777777777776,5.205760595733364,72.21052631578948,0.4255237317536259,11.083931534826451,4.102631827081421,-6.034735330437074,9.577351763224424,22.284482650392224,38.391157754265706
17.545705457628497,253.32485036578842,-235.77914490815994,0.06926168290356581,0.44652807174612796,1.1536016484525817,83.73684210526318,75.73684210526318,0.0077777777777777776,5.42955315032752,73.73684210526318,0.45174856471922237,11.190120685304148,4.250311182965849,-6.161396283569631,9.730784149419588,22.772353223816353,39.293622434569016
18.145581175254808,253.144083654705,-234.9985024794502,0.07168084244072574,0.4515323113839863,1.1471704391720199,85.26315789473682,77.26315789473682,0.0077777777777777776,5.660560399750381,75.26315789473682,0.47860000901913996,11.30286778166575,4.394596014525497,-6.286732425218425,9.889331379991962,23.255579066999783,40.186672620696854
18.731709758715144,252.96282310040473,-234.2311133416896,0.07404925960713306,0.4560874638744079,1.1408287229157774,86.78947368421052,78.78947368421052,0.0077777777777777776,5.898932189656645,76.78947368421052,0.5060879598769721,11.421944188790864,4.535570282093342,-6.4107036325180395,10.052898798243138,23.734367759394644,41.07043328836871
19.304367588525125,252.7811364760089,-233.4767688874838,0.07636791201133505,0.4602301714234124,1.1345761784931694,88.31578947368422,80.31578947368422,0.0077777777777777776,6.144819759378294,78.31578947368422,0.5342224597978711,11.54713010122678,4.6733163677331895,-6.533270844341727,10.221398084416114,24.208910121091115,41.94502835140089
19.863823608136727,252.5990908729866,-232.73526726484988,0.07863774782200136,0.4639933237298424,1.128412512880194,89.84210526315792,81.84210526315792,0.0077777777777777776,6.398375768772706,79.84210526315792,0.5630137125394652,11.678214317717444,4.807915114994017,-6.654395942404321,10.394747202846606,24.67938202947128,42.810580653316315
20.410339488976057,252.41675260654492,-232.00641311756885,0.08085968652322657,0.4674065179165601,1.1223374618424076,91.36842105263156,83.36842105263156,0.0077777777777777776,6.65975432860662,81.36842105263156,0.5924720980157941,11.814994026987375,4.939445868247123,-6.774041632761525,10.572870360488766,25.145945988597877,43.66721195920431
20.94416978599246,252.23418713639373,-231.29001735040126,0.08303461962777893,0.4704964524106648,1.1163507907059704,92.89473684210526,84.89473684210526,0.0077777777777777776,6.9291110347419895,82.89473684210526,0.6226081881713541,11.957274604436982,5.067986511734279,-6.892171327306993,10.75569797703562,25.608752491300717,44.51504294810644
21.465562083807445,252.05145900131726,-230.5858969175098,0.08516341134805834,0.4732872655516369,1.1104522952723312,94.42105263157896,86.42105263157896,0.0077777777777777776,7.206603006266474,84.42105263157896,0.6534327638952944,12.10486941982105,5.193613508363168,-7.008749025045525,10.943166667033985,26.0679412064901,45.35419320608256
21.97475713388915,251.86863176674308,-229.8938746328539,0.08724689922578406,0.475800827747154,1.1046418028779335,95.94736842105266,87.94736842105266,0.0077777777777777776,7.492388927889098,85.94736842105266,0.6849568331061617,12.257599655604082,5.316401938372223,-7.12373919270395,11.135219234378518,26.523642018338276,46.18478122019322
22.471988982836884,251.685767983958,-229.21377900112108,0.0892858947203928,0.47805699441817706,1.098919173596667,97.4736842105263,89.4736842105263,0.0077777777777777776,7.786629096803951,87.4736842105263,0.7171916500082209,12.415294136084476,5.4364255379000355,-7.237106644392158,11.331804679600575,26.975975939311876,47.006924373497746
22.957485091908744,251.50292916010451,-228.54544406819576,0.09128118375629023,0.48007382571254625,1.0932843015874265,99.0,91.0,0.0077777777777777776,8.089485474349631,89.0,0.7501487356952677,12.577789167168056,5.5537567375412635,-7.348816419893141,11.53287822051145,27.425055915246183,47.82073894121233
