P_evap [bar],T_turb_in [K],W_net [kW],η_th [-],ε_ex [-]
5.0,343.15,63.514333227660416,0.05964651178130203,0.7061595423608665
5.0,343.8570707070707,63.7101251779967,0.05962445852220238,0.6976975673892403
5.0,344.5641414141414,63.90537851592853,0.0596020458713953,0.6894429477272852
5.0,345.2712121212121,64.10010275291569,0.05957928254155183,0.6813880713546092
5.0,345.9782828282828,64.29430716860026,0.05955617701386265,0.6735256962603818
5.0,346.6853535353535,64.48800081839693,0.05953273754578478,0.6658489281738852
5.0,347.3924242424242,64.68119254077209,0.05950897217847531,0.6583511998865206
5.0,348.0994949494949,64.87389096421367,0.059484888743913875,0.6510262520339185
5.0,348.8065656565656,65.06610451391282,0.05946049487173541,0.64386811521922
5.0,349.51363636363635,65.25784141817354,0.05943579799578838,0.63687109336954
5.0,350.220707070707,65.4491097145575,0.05941080536042538,0.6300297482273362
5.0,350.92777777777775,65.63991725578546,0.05938552402654754,0.6233388848874368
5.0,351.6348484848485,65.8302717154001,0.05935996087740721,0.6167935382982529
5.0,352.34191919191915,66.02018059319846,0.05933412262417801,0.610388960652912
5.0,353.0489898989899,66.20965122047465,0.059308015811328905,0.604120609602819
5.0,353.7560606060606,66.39869076502521,0.05928164682176134,0.5979841372311951
5.0,354.46313131313127,66.58730623599325,0.05925502188177801,0.5919753797305245
5.0,355.170202020202,66.77550448851122,0.05922814706584837,0.5860903477316065
5.0,355.8772727272727,66.96329222663394,0.059201028299838615,0.5803252172235068
5.0,356.5843434343434,67.1506760133937,0.05917367137052025,0.574676321097477
5.0,357.2914141414141,67.33766226683315,0.05914608192264068,0.5691401410905034
5.0,357.99848484848485,67.52425726911127,0.05911826546755521,0.563713300328171
5.0,358.7055555555555,67.71046716913617,0.05909022738610045,0.5583925562619153
5.0,359.41262626262625,67.89629798627516,0.059061972932403506,0.5531747940355931
5.0,360.119696969697,68.08175561393114,0.059033507237554,0.5480570202419557
5.0,360.82676767676764,68.26684582299691,0.05900483531314937,0.5430363570425559
5.0,361.5338383838384,68.45157426517602,0.05897596205470462,0.53811003662649
5.0,362.2409090909091,68.63594647620403,0.0589468922449567,0.5332753959856255
5.0,362.94797979797977,68.8199678789448,0.058917630557042064,0.5285298719851514
5.0,363.6550505050505,69.0036437863887,0.05888818155757126,0.5238709967103211
5.0,364.3621212121212,69.18697940454905,0.05885854970959847,0.5192963930714165
5.0,365.0691919191919,69.3699798352543,0.058828739375484086,0.5148037706503031
5.0,365.7762626262626,69.55265007885941,0.0587987548196712,0.5103909217733434
5.0,366.4833333333333,69.73499503684565,0.05876860021135048,0.5060557177961548
5.0,367.190404040404,69.91701951436795,0.05873827962706426,0.5017961055873595
5.0,367.8974747474747,70.09872822268562,0.058707797053195974,0.4976101041985327
5.0,368.6045454545454,70.28012578153323,0.05867715638839362,0.49349580170929114
5.0,369.31161616161614,70.46121672141368,0.058646361445912634,0.48945135223671976
5.0,370.0186868686868,70.64200548581681,0.0586154159558816,0.48547497309922394
5.0,370.72575757575754,70.82249643336354,0.058584323567491006,0.48156494212554984
5.0,371.43282828282827,71.00269383989087,0.05855308785111916,0.4777195951004643
5.0,372.13989898989894,71.18260190045959,0.05852171230037972,0.4739373233389011
5.0,372.84696969696967,71.36222473132165,0.05849020033412252,0.47021657138133055
5.0,373.5540404040404,71.54156637180165,0.0584585552983506,0.46655583480301505
5.0,374.26111111111106,71.72063078613888,0.05842678046809178,0.4629536581309232
5.0,374.9681818181818,71.89942186526821,0.058394879049207926,0.4594086328620073
5.0,375.6752525252525,72.0779434285447,0.05836285418014573,0.4559193955771641
5.0,376.3823232323232,72.25619922542762,0.0583307089336428,0.45248462614559565
5.0,377.0893939393939,72.43419293709223,0.05829844631836352,0.44910304601435475
5.0,377.79646464646464,72.61192817802623,0.05826606928051091,0.4457734165787124
5.0,378.5035353535353,72.78940849755003,0.05823358070536674,0.4424945376285673
5.0,379.21060606060604,72.96663738131258,0.05820098341880028,0.43926524586705223
5.0,379.91767676767677,73.14361825273352,0.05816828018872452,0.43608441349729693
5.0,380.62474747474744,73.32035447441001,0.05813547372651309,0.4329509468737863
5.0,381.33181818181816,73.49684934947959,0.05810256668837312,0.42986378521484997
5.0,382.0388888888889,73.6731061229483,0.058069561676679905,0.42682189937310383
5.0,382.74595959595956,73.8491279829816,0.05803646124127357,0.4238242906608073
5.0,383.4530303030303,74.02491806215664,0.05800326788071506,0.4208699897272614
5.0,384.160101010101,74.20047943867843,0.057969984043505646,0.41795805548560483
5.0,384.8671717171717,74.3758151375718,0.05793661212927836,0.4150875740865226
5.0,385.5742424242424,74.55092813182915,0.057903154489945846,0.4122576579363847
5.0,386.28131313131314,74.72582134353758,0.05786961343082492,0.4094674447577128
5.0,386.9883838383838,74.90049764496689,0.05783599121172158,0.40671609668973535
5.0,387.69545454545454,75.07495985963544,0.05780229004799131,0.40400279942714523
5.0,388.40252525252527,75.24921076334323,0.05776851211156688,0.4013267613951183
5.0,389.10959595959594,75.42325308517974,0.05773465953195835,0.3986872129588407
5.0,389.8166666666666,75.59708950850535,0.05770073439722625,0.3960834056658798
5.0,390.5237373737374,75.77072267190829,0.05766673875492832,0.393514611519803
5.0,391.23080808080806,75.94415517013346,0.05763267461303844,0.39098012228354245
5.0,391.93787878787873,76.11738955498765,0.05759854394084024,0.38847924881109336
5.0,392.64494949494946,76.29042833623004,0.05756434866980334,0.3860113204062637
5.0,393.3520202020202,76.46327398242477,0.0575300906944245,0.38357568420708316
5.0,394.05909090909086,76.63592892178514,0.05749577187305596,0.38117170459481187
5.0,394.7661616161616,76.80839554298984,0.05746139402870686,0.37879876262632123
5.0,395.4732323232323,76.98067619598817,0.05742695894983036,0.3764562554888469
5.0,396.180303030303,77.15277319276538,0.057392468391075216,0.3741435959759517
5.0,396.8873737373737,77.32468880810956,0.05735792407403279,0.3718602119839262
5.0,397.59444444444443,77.49642528035224,0.05732332768795929,0.3696055460275841
5.0,398.3015151515151,77.6679848120881,0.05728868089047668,0.3673790547745894
5.0,399.00858585858583,77.83936957087548,0.05725398530825466,0.36518020859751105
5.0,399.71565656565656,78.01058168993507,0.05721924253768603,0.363008491142893
5.0,400.42272727272723,78.1816232688115,0.05718445414552959,0.3608633989164261
5.0,401.12979797979796,78.3524963740291,0.05714962166954445,0.3587444408836629
5.0,401.8368686868687,78.52320303973386,0.05711474661910912,0.3566511380855651
5.0,402.54393939393935,78.69374526831848,0.05707983047582391,0.3545830232682182
5.0,403.2510101010101,78.86412503102719,0.05704487469409393,0.3525396405261027
5.0,403.9580808080808,79.03434426855654,0.057009880701705075,0.35052054495840473
5.0,404.6651515151515,79.20440489163525,0.056974849900380486,0.34852530233774487
5.0,405.3722222222222,79.3743087815838,0.05693978366631822,0.346553488790795
5.0,406.07929292929293,79.54405779088631,0.05690468335073382,0.3446046904904394
5.0,406.7863636363636,79.7136537437197,0.056869550280368227,0.342678503358747
5.0,407.49343434343433,79.88309843648153,0.056834385757990956,0.34077453278049447
5.0,408.20050505050506,80.05239363831777,0.0567991910628996,0.3388923933268071
5.0,408.9075757575757,80.2215410916233,0.056763967451396,0.3370317084883861
5.0,409.61464646464646,80.39054251253788,0.056728716157255804,0.33519211041802927
5.0,410.3217171717172,80.55939959142165,0.05669343839218018,0.3333732396820052
5.0,411.02878787878785,80.72811399334455,0.056658135346254,0.33157474502006173
5.0,411.7358585858586,80.8966873585291,0.05662280818836739,0.32979628311347475
5.0,412.44292929292925,81.0651213028251,0.0565874580666572,0.328037518361144
5.0,413.15,81.23341741812567,0.05655208610890371,0.32629812266304276
6.4,343.15,9.628428559478124,0.03967092827092825,0.46904885078144004
6.4,343.8570707070707,10.052192027492453,0.04056044168792943,0.4740031576689581
6.4,344.5641414141414,10.484328723764946,0.04144541337189128,0.4788032707928377
6.4,345.2712121212121,79.39886426814311,0.07493838715703605,0.8559621148847592
6.4,345.9782828282828,79.66783002967148,0.07492141573072379,0.8462361426792437
6.4,346.6853535353535,79.93578371217765,0.07490378031816639,0.8367369379994931
6.4,347.3924242424242,80.20274648770211,0.07488549819331243,0.8274565611699495
6.4,348.0994949494949,80.46873888481102,0.07486658608571369,0.8183874413728776
6.4,348.8065656565656,80.7337808155414,0.07484706020301392,0.8095223553940863
6.4,349.51363636363635,80.99789160088946,0.0748269362522594,0.800854407824794
6.4,350.220707070707,81.261089994929,0.0748062294600991,0.7923770126043301
6.4,350.92777777777775,81.52339420765927,0.07478495459195242,0.7840838757988325
