T_htf_in [°C],Vdot_htf [m3/s],W_net_total [kW],η_th_total [-],P_evap1_series [bar],P_evap2_series [bar],eps_ex_total [-],T_htf_in_stage2 [°C]
70.0,0.0077777777777777776,18.806278915439414,0.07377378334434323,3.6576118540006934,2.8535097917411267,0.6102531371032686,62.0
71.5263157894737,0.0077777777777777776,20.37418076327982,0.07997874129260157,3.8289203904992553,2.995262585081468,0.640705935118584,63.5263157894737
73.05263157894734,0.0077777777777777776,21.9068637013455,0.08605417322870505,4.006292845610756,3.1423702783474314,0.6684723132700788,65.05263157894734
74.57894736842104,0.0077777777777777776,23.405087769929708,0.09200285596527316,4.189868511043779,3.294965401590965,0.6938300830032383,66.57894736842104
76.10526315789474,0.0077777777777777776,24.8695923179609,0.09782748273363585,4.379787965537106,3.4531817842371004,0.7170207962125595,68.10526315789474
77.63157894736844,0.0077777777777777776,26.301096675041983,0.1035306659750623,4.576193079036768,3.6171545486997916,0.7382554421101614,69.63157894736844
79.15789473684208,0.0077777777777777776,27.700300781151505,0.1091149399929436,4.779227019225164,3.787020105755953,0.7577191034966444,71.15789473684208
80.68421052631578,0.0077777777777777776,29.06788577791524,0.1145827634744259,4.989034260530281,3.962916151853664,0.7755747875763624,72.68421052631578
82.21052631578948,0.0077777777777777776,30.40451456411956,0.11993652188635703,5.205760595733364,4.144981668409581,0.7919665970672963,74.21052631578948
83.73684210526318,0.0077777777777777776,31.710832318295438,0.12517852975144989,5.42955315032752,4.333356923201563,0.8070223703884697,75.73684210526318
85.26315789473682,0.0077777777777777776,32.98746699078152,0.13031103280998368,5.660560399750381,4.528183474001301,0.8208558917563229,77.26315789473682
86.78947368421052,0.0077777777777777776,34.23502976735093,0.13533621007132157,5.898932189656645,4.729604174514123,0.833568750711145,78.78947368421052
88.31578947368422,0.0077777777777777776,35.45411550626845,0.14025617575951263,6.144819759378294,4.9377631827847885,0.8452519142255949,80.31578947368422
89.84210526315792,0.0077777777777777776,36.64530315052485,0.1450729811571296,6.398375768772706,5.152805972162404,0.8559870618733626,81.84210526315792
91.36842105263156,0.0077777777777777776,37.809156116577356,0.14978861635032778,6.65975432860662,5.374879344986117,0.8658477246475047,83.36842105263156
92.89473684210526,0.0077777777777777776,38.94622266098,0.15440501187858457,6.9291110347419895,5.604131449105902,0.8749002602644164,84.89473684210526
94.42105263157896,0.0077777777777777776,40.05703622586777,0.1589240402915439,7.206603006266474,5.840711797412048,0.8832046916556245,86.42105263157896
95.94736842105266,0.0077777777777777776,41.142115764214985,0.16334751761512298,7.492388927889098,6.084771290501919,0.8908154304783531,87.94736842105266
97.4736842105263,0.0077777777777777776,42.20196604573655,0.16767720472945624,7.786629096803951,6.336462242701528,0.8977819035854596,89.4736842105263
99.0,0.0077777777777777776,43.23707794385421,0.17191480865946446,8.089485474349631,6.595938411580575,0.9041490972568832,91.0
