T_turb_in [K],T_turb_in [°C],P_evap [bar],W_net [kW],η_th [-],ε_ex [-]
343.15,70.0,4.624588899870925,58.37374382226855,0.05460235845313542,0.6466702217837776
343.8570707070707,70.70707070707073,4.718559066833217,59.89368033979744,0.05588801152439932,0.6541465174897491
344.5641414141414,71.4141414141414,4.813973602681118,61.407256298982276,0.05716174453577198,0.6613276934383056
345.2712121212121,72.12121212121212,4.910846927343621,62.91448617544688,0.05842367741218774,0.6682256829914047
345.9782828282828,72.8282828282828,5.009193521561467,64.41538375014758,0.059673928465812986,0.6748518211577111
346.6853535353535,73.53535353535352,5.109027927167242,65.90996210970118,0.06091261441913966,0.6812168810360443
347.3924242424242,74.24242424242425,5.210364747435261,67.39823364697997,0.06213985042813876,0.6873311076411046
348.0994949494949,74.94949494949492,5.313218647411856,68.88021006078887,0.06335575010432752,0.6932042493159467
348.8065656565656,75.65656565656565,5.417604354322941,70.35590235590149,0.06456042553700092,0.6988455869422323
349.51363636363635,76.36363636363637,5.523536657980785,71.82532084238133,0.06575398731459725,0.7042639611156258
350.220707070707,77.07070707070704,5.631030411226645,73.28847513473605,0.06693654454573165,0.7094677974548053
350.92777777777775,77.77777777777777,5.740100530416467,74.74537415086829,0.06810820487988267,0.714465130191453
351.6348484848485,78.4848484848485,5.8507619959227775,76.19602611056195,0.06926907452747982,0.71926362417329
352.34191919191915,79.19191919191917,5.963029852685114,77.64043853387406,0.07041925827976099,0.7238705954065794
353.0489898989899,79.8989898989899,6.076919210781782,79.078618239039,0.07155885952803402,0.7282930302461382
353.7560606060606,80.60606060606062,6.192445246047641,80.51057134021832,0.07268798028266861,0.7325376033385983
354.46313131313127,81.3131313131313,6.30962320071294,81.93630324478107,0.07380672119152566,0.7366106944092431
355.170202020202,82.02020202020202,6.428468384094275,83.3558186504257,0.0749151815581348,0.7405184039812427
355.8772727272727,82.72727272727275,6.548996173313622,84.76912154189577,0.07601345935938886,0.7442665681031829
356.5843434343434,83.43434343434342,6.671222014060821,86.17621518740052,0.07710165126287487,0.7478607721581167
357.2914141414141,84.14141414141415,6.7951614213912075,87.57710213468911,0.07817985264379568,0.7513063638195497
357.99848484848485,84.84848484848487,6.920829980563896,88.97178420676866,0.07924815760149044,0.7546084652150364
358.7055555555555,85.55555555555554,7.048243347931665,90.36026249737972,0.08030665897566727,0.7577719843543264
359.41262626262625,86.26262626262627,7.177417251859819,91.74253736599482,0.08135544836213378,0.7608016258711183
360.119696969697,86.969696969697,7.3083674936986105,93.11860843254706,0.08239461612823452,0.7637019011278232
360.82676767676764,87.67676767676767,7.4411099487974095,94.48847457177621,0.08342425142789502,0.766477137725838
361.5338383838384,88.3838383838384,7.575660567569548,95.85213390721322,0.08444444221630841,0.7691314884618282
362.2409090909091,89.09090909090912,7.7120353766001015,97.20958380477555,0.08545527526423748,0.7716689397670203
362.94797979797977,89.79797979797979,7.850250479806895,98.56082086598931,0.08645683617196762,0.7740933196638792
363.6550505050505,90.50505050505052,7.990322059653622,99.9058409208449,0.0874492093829192,0.7764083052722107
364.3621212121212,91.21212121212125,8.132266378412613,101.24463902021645,0.08843247819686782,0.7786174298933742
365.0691919191919,91.91919191919192,8.276099779483294,102.57720942789447,0.08940672478282545,0.7807240897003496
365.7762626262626,92.62626262626264,8.421838688770956,103.90354561221372,0.09037203019158124,0.7827315500588248
366.4833333333333,93.33333333333331,8.569499616117431,105.22364023724563,0.09132847436787198,0.7846429515024427
367.190404040404,94.04040404040404,8.719099156796599,106.53748515358544,0.09227613616222895,0.786461315384227
367.8974747474747,94.74747474747471,8.87065399306705,107.84507138860832,0.09321509334239747,0.7881895492234585
368.6045454545454,95.45454545454544,9.02418089579758,109.1463891364323,0.09414542260454317,0.7898304517686953
369.31161616161614,96.16161616161617,9.179696726146965,110.44142774725358,0.09506719958396187,0.7913867177917092
370.0186868686868,96.86868686868684,9.337218437327344,111.73017571634077,0.09598049886556248,0.7928609426310119
370.72575757575754,97.57575757575756,9.496763076420383,113.01262067245077,0.0968853939939001,0.7942556264981403
371.43282828282827,98.28282828282829,9.658347786290376,114.28874936583426,0.09778195748295468,0.7955731785623398
372.13989898989894,98.98989898989896,9.821989807551637,115.55854765569975,0.09867026082549933,0.7968159208256114
372.84696969696967,99.69696969696969,9.987706480627573,116.82200049712137,0.09955037450210075,0.7979860918004956
373.5540404040404,100.40404040404042,10.155515247892128,118.07909192753456,0.10042236798985504,0.7990858500031469
374.26111111111106,101.11111111111109,10.325433655892077,119.32980505257703,0.10128630977067096,0.8001172772705425
374.9681818181818,101.81818181818181,10.49747935766214,120.57412203146143,0.10214226733926303,0.8010823819133889
375.6752525252525,102.52525252525254,10.671670115130178,121.81202406176979,0.10299030721076989,0.8019831017131829
376.3823232323232,103.23232323232321,10.848023801621142,123.04349136365417,0.10383049492799544,0.8028213067722337
377.0893939393939,103.93939393939394,11.026558404458854,124.26850316349388,0.10466289506831392,0.8035988022251422
377.79646464646464,104.64646464646466,11.207292027672803,125.48703767692999,0.1054875712501866,0.8043173308189676
378.5035353535353,105.35353535353534,11.390242894817279,126.69907209134564,0.10630458613935083,0.8049785753697594
379.21060606060604,106.06060606060606,11.575429351899638,127.90458254766364,0.1071140014545785,0.8055841611013315
379.91767676767677,106.76767676767679,11.762869870424964,129.1035441215712,0.10791587797309476,0.806135657873418
380.62474747474744,107.47474747474746,11.95258305057343,130.29593080410237,0.10871027553562133,0.8066345823047455
381.33181818181816,108.18181818181819,12.14458762450058,131.48171548158643,0.10949725305103393,0.807082399796583
