W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K]
11.773471233443313,254.8495361059974,-243.07606487255407,0.04619773460582825,0.3772517775046001,1.2126840528654281,70.60606060606062,62.60606060606062,0.0077777777777777776,3.7249170376944996,60.60606060606062,0.24562787400971012,10.517597877472777,2.8595694518606525,-5.032987873977794,8.589807329365346,18.395292083709244
11.919873792060674,254.81514371389673,-242.89526992183607,0.046778514095866135,0.37957060466963466,1.2112434751801362,70.90909090909093,62.909090909090935,0.0077777777777777776,3.7589226877049975,60.909090909090935,0.24990676843897,10.526399375085884,2.8949234335894527,-5.059920066731791,8.611309510382515,18.501593952841215
12.065616257929685,254.7807065429034,-242.71509028497374,0.047356867879232115,0.3818449190065624,1.2098065974101033,71.21212121212119,63.21212121212119,0.0077777777777777776,3.7931651491175207,61.21212121212119,0.2542072497415669,10.535550226453974,2.9301131217085334,-5.086815636395565,8.63305496150851,18.60760178348684
12.210701451209566,254.74622510409267,-242.53552365288309,0.047932806251476785,0.3840757029499568,1.2083734148708074,71.5151515151515,63.5151515151515,0.0077777777777777776,3.8276455038913713,61.5151515151515,0.2585293889946235,10.545047943482157,2.965139296336078,-5.113674154364542,8.655042474448317,18.713319536373206
12.355132176849168,254.71169991092918,-242.35656773408002,0.04850633944640025,0.3862639109228048,1.2069439229271122,71.81818181818181,63.81818181818181,0.0077777777777777776,3.862364835986205,61.81818181818181,0.2628732573569003,10.554890055890876,3.0000027345087084,-5.140495195473149,8.677270852283336,18.818751078127217
12.498911224627513,254.6771314790273,-242.17822025439978,0.049077477636254904,0.38841047032018317,1.2055181169921565,72.12121212121212,64.12121212121212,0.0077777777777777776,3.89732423135326,62.121212121212125,0.26723892607274047,10.565074111155688,3.03470421018776,-5.167278337971953,8.699738909444235,18.923900184378635
12.64204136931434,254.64252032623605,-242.0004789569217,0.04964623093235941,0.3905162824549954,1.204095992527929,72.42424242424244,64.42424242424244,0.0077777777777777776,3.9325247779461194,62.424242424242436,0.2716264664728544,10.575597674345222,3.069244494287524,-5.194023163466328,8.722445471639272,19.028770542733437
12.784525370699258,254.6078669723578,-241.82334160165857,0.05021260938526791,0.39258222346093063,1.202677545043967,72.72727272727275,64.72727272727275,0.0077777777777777776,3.9679675657112012,62.72727272727275,0.2760359499770098,10.58645832806911,3.103624354678498,-5.220729256893351,8.745389375831266,19.13336575562172
12.926365973722993,254.57317193913968,-241.6468059654167,0.050776622985289566,0.39460914516086787,1.2012627700974317,73.030303030303,65.030303030303,0.0077777777777777776,4.003653686593307,63.030303030303,0.28046744809477775,10.59765367234073,3.13784455620889,-5.247396206471427,8.76856947017297,19.23768934302922
13.06756590854433,254.53843575018118,-241.47086984163687,0.05133828166277253,0.39659787589786194,1.1998516632928298,73.33333333333331,65.33333333333331,0.0077777777777777776,4.039584234534348,63.333333333333314,0.28492103243472017,10.609181324491168,3.171905860718052,-5.2740236036633235,8.791984613980617,19.34174474511391
