W_net [kW],Q_in [kW],Q_out [kW],η_th [-],ε_ex [-],Q_preheater [kW],Q_superheater [kW],m_orc [kg/s],T_htf_in [°C],T_htf_out [°C],Vdot_htf [m3/s],P_evap [bar],T_turb_in [°C],E_dest_Pump [kW],E_dest_Evaporator [kW],E_dest_Turbine [kW],E_dest_Condenser [kW],E_dest_Total [kW],Evap_dT_lm [K],Evap_E_heat_in [kW],use_preheater,use_superheater,Q_preheater_kW,Q_superheater_kW
11.691203761401685,181.19037166559798,-169.4991679041963,0.06452442066280863,0.43563853719457457,0.0,0.0,0.8329014688660012,80.83838383838383,72.83838383838383,0.005555555555555556,5.01060921725881,70.83838383838383,0.28748191766601006,7.853044434832238,2.8335010737038626,-4.22840829635572,6.745619129846391,21.841740898323184,26.836936504035453,False,False,0.0,0.0
11.77792611185968,181.1657824995756,-169.38785638771594,0.06501186895978699,0.43682849060398177,0.0,0.0,0.83199140586677,81.1313131313131,73.1313131313131,0.005555555555555556,5.051796664313506,71.1313131313131,0.29096697571071906,7.866382257870601,2.85436922342066,-4.245999990514964,6.765718466487016,21.93659802020587,26.96235791666177,False,False,0.0,0.0
11.864266099378234,181.1411754490482,-169.27690934966995,0.06549734520584162,0.4379974056757926,0.0,0.0,0.8310837238159445,81.42424242424244,73.42424242424244,0.005555555555555556,5.0932405405327925,71.42424242424244,0.2944680827684476,7.879903418719117,2.875144199469039,-4.263558702443557,6.785956998513047,22.031269424675283,27.087525966215907,False,False,0.0,0.0
11.95022524206506,181.11655086303261,-169.16632562096757,0.06598085699579319,0.4391456507908264,0.0,0.0,0.8301784206610001,81.71717171717171,73.71717171717171,0.005555555555555556,5.134941884870745,71.71717171717171,0.29798528743659425,7.893606664988116,2.8958264432545953,-4.281084216322911,6.806334179356395,22.125756878857224,27.212441294920584,False,False,0.0,0.0
12.035805050182823,181.0919090903186,-169.05610404013578,0.06646241188047794,0.44027358606384004,0.0,0.0,0.8292754943757108,82.01010101010104,74.01010101010104,0.005555555555555556,5.17690173810408,72.01010101010104,0.30151863842836046,7.90749075343016,2.9164163945560606,-4.298576317650749,6.826849468763832,22.2200621190729,27.337104543986023,False,False,0.0,0.0
12.12100702618187,181.067250479472,-168.94624345329012,0.06694201736694541,0.4413815635707587,0.0,0.0,0.828374942960187,82.30303030303031,74.30303030303031,0.005555555555555556,5.219121142828156,72.30303030303031,0.30506818456834317,7.921554449912794,2.9369144915285723,-4.3160347932284635,6.847502332781246,22.31418685158362,27.46151635361346,False,False,0.0,0.0
12.205832664749284,181.04257537880824,-168.83674271405894,0.06741968091875711,0.4424699275691183,0.0,0.0,0.8274767644409923,82.59595959595958,74.59595959595958,0.005555555555555556,5.261601143469448,72.59595959595958,0.3086339747970781,7.935796529353727,2.957321170718126,-4.333459431131584,6.868292243737348,22.408132753308436,27.585677362994595,False,False,0.0,0.0
12.290283452832728,181.0178841363292,-168.7276006834965,0.06789540995615992,0.44353901471051377,0.0,0.0,0.8265809568709728,82.88888888888891,74.88888888888891,0.005555555555555556,5.304342786285425,72.88888888888891,0.3122160581785046,7.950215775681052,2.9776368670619213,-4.350850020689146,6.889218680232332,22.50190147252006,27.709588210304954,False,False,0.0,0.0
12.374360869687283,180.9931770996975,-168.6188162300102,0.06836921185637315,0.4445891542469004,0.0,0.0,0.8256875183292719,83.18181818181819,75.18181818181819,0.005555555555555556,5.347347119371595,73.18181818181819,0.31581448389261957,7.964810981785103,2.9978620139014627,-4.368206352462084,6.910281127117101,22.595494629522697,27.833249532702823,False,False,0.0,0.0
12.458066386908209,180.9684546162548,-168.51038822934657,0.06884109395378132,0.4456206682296334,0.0,0.0,0.8247964469215842,83.47474747474746,75.47474747474746,0.005555555555555556,5.3906151926650505,73.47474747474746,0.31942930124419017,7.979580949475967,3.0179970429870338,-4.385528218221972,6.9314790754852185,22.68891381730588,27.956661966335066,False,False,0.0,0.0
12.541401468467422,180.94371703294823,-168.4023155644808,0.0693110635401822,0.4466338717024886,0.0,0.0,0.8239077407799573,83.76767676767679,75.76767676767679,0.005555555555555556,5.434148057950118,73.76767676767679,0.3230605596630728,7.994524489433672,3.038042384485756,-4.402815410927185,6.9528120226553165,22.782160602180273,28.079826146328397,False,False,0.0,0.0
12.62436757075133,180.91896469630905,-168.29459712555771,0.069779127865023,0.4476290728884507,0.0,0.0,0.8230213980628905,84.06060606060606,76.06060606060606,0.005555555555555556,5.477946768865765,74.06060606060606,0.3267083087067483,8.00964042116059,3.057998466990785,-4.420067724699358,6.974279472158766,22.875236524393827,28.202742706788676,False,False,0.0,0.0
